symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent,capital
DATAPATTNS,62,41,66.13,-14.06,-0.23,852597.22
DCMSHRIRAM,60,43,71.67,22.86,0.38,1251246.29
DEEPAKFERT,56,38,67.86,7.72,0.14,1074027.25
DEEPAKNTR,63,42,66.67,9.15,0.15,1090167.08
DELHIVERY,60,44,73.33,9.70,0.16,1093387.77
DEVYANI,58,38,65.52,-0.44,-0.01,992232.92
DIVISLAB,56,38,67.86,1.50,0.03,1011362.36
DIXON,61,40,65.57,1.01,0.02,1004536.82
DLF,60,38,63.33,-6.61,-0.11,931290.07
DMART,55,37,67.27,0.08,0.00,999032.86
DOMS,58,47,81.03,24.87,0.43,1278184.76
DRREDDY,54,37,68.52,10.04,0.19,1101017.66
ECLERX,61,44,72.13,-6.68,-0.11,928832.03
EICHERMOT,61,41,67.21,5.51,0.09,1053063.70
EIDPARRY,61,46,75.41,13.55,0.22,1140020.20
EIHOTEL,61,43,70.49,3.71,0.06,1033137.69
ELECON,64,46,71.88,3.99,0.06,1034917.28
ELGIEQUIP,55,43,78.18,17.73,0.32,1190223.32
EMAMILTD,57,42,73.68,-4.64,-0.08,950605.23
EMCURE,56,42,75.00,12.50,0.22,1130127.48
EMMVEE,60,40,66.67,13.27,0.22,1135182.94
ENDURANCE,60,42,70.00,-0.40,-0.01,992431.17
ENGINERSIN,59,45,76.27,2.99,0.05,1022668.59
ENRIN,57,39,68.42,-12.35,-0.22,874568.82
ERIS,59,54,91.53,26.64,0.45,1302971.35
ESCORTS,54,36,66.67,5.50,0.10,1053904.76
ETERNAL,60,39,65.00,-3.32,-0.06,960398.66
EXIDEIND,55,40,72.73,12.30,0.22,1125734.24
FACT,60,42,70.00,1.33,0.02,1005793.36
FEDERALBNK,57,46,80.70,8.06,0.14,1082158.08
FINCABLES,59,46,77.97,13.61,0.23,1139442.52
FIRSTCRY,57,42,73.68,3.30,0.06,1030036.06
FIVESTAR,59,40,67.80,-11.43,-0.19,885609.91
FLUOROCHEM,62,52,83.87,6.58,0.11,1059861.77
FORCEMOT,61,37,60.66,-17.86,-0.29,830068.64
FORTIS,58,41,70.69,10.12,0.17,1103589.96
FSL,64,45,70.31,-5.51,-0.09,938428.32
GABRIEL,61,46,75.41,-1.17,-0.02,975688.48
GAIL,52,38,73.08,5.20,0.10,1051696.14
GALLANTT,61,42,68.85,8.69,0.14,1079768.93
GESHIP,58,42,72.41,19.75,0.34,1207002.57
GICRE,53,37,69.81,5.10,0.10,1050122.12
GILLETTE,51,37,72.55,0.28,0.01,1001526.52
GLAND,60,47,78.33,12.31,0.21,1125575.03
GLAXO,54,39,72.22,3.66,0.07,1033069.87
GLENMARK,57,48,84.21,17.50,0.31,1188035.20
GMDCLTD,57,33,57.89,-3.64,-0.06,957383.65
GMRAIRPORT,63,46,73.02,13.86,0.22,1143863.25
GODFRYPHLP,58,35,60.34,-11.77,-0.20,884268.44
GODIGIT,59,43,72.88,17.25,0.29,1182665.06
GODREJCP,58,38,65.52,0.74,0.01,1004652.48
GODREJIND,61,46,75.41,9.81,0.16,1099358.43
GODREJPROP,62,36,58.06,-6.79,-0.11,929723.26
GPIL,59,47,79.66,22.83,0.39,1251616.18
GRANULES,57,47,82.46,17.10,0.30,1183694.27
GRAPHITE,58,39,67.24,-8.38,-0.14,914377.78
GRASIM,59,39,66.10,6.96,0.12,1070384.46
GRAVITA,58,44,75.86,12.32,0.21,1126722.18
GROWW,58,43,74.14,3.51,0.06,1029862.59
GRSE,60,35,58.33,-6.34,-0.11,933819.99
HAL,56,39,69.64,1.34,0.02,1009752.17
HAVELLS,57,43,75.44,10.93,0.19,1113715.96
HBLENGINE,59,40,67.80,-9.38,-0.16,904228.27
HCLTECH,63,32,50.79,-2.93,-0.05,965818.10
HDBFS,62,43,69.35,-3.29,-0.05,962724.28
HDFCAMC,57,36,63.16,-8.85,-0.16,911833.20
HDFCBANK,56,34,60.71,7.89,0.14,1080079.37
HDFCLIFE,59,38,64.41,1.65,0.03,1014346.12
HEG,54,42,77.78,21.31,0.39,1231992.76
HEROMOTOCO,57,34,59.65,-3.12,-0.05,967761.27
HEXT,62,46,74.19,13.89,0.22,1141169.64
HINDALCO,62,36,58.06,1.65,0.03,1013242.45
HINDCOPPER,59,36,61.02,1.40,0.02,1008489.54
HINDPETRO,59,28,47.46,-6.13,-0.10,937404.09
HINDUNILVR,54,38,70.37,0.35,0.01,1001717.71
HINDZINC,64,25,39.06,-19.50,-0.30,816552.01
HOMEFIRST,57,41,71.93,-1.69,-0.03,978150.80
HONASA,61,47,77.05,19.23,0.32,1206667.45
HONAUT,53,43,81.13,3.34,0.06,1028221.75
HSCL,63,44,69.84,-3.35,-0.05,954051.52
HUDCO,58,40,68.97,5.73,0.10,1056722.56
HYUNDAI,59,40,67.80,1.20,0.02,1009442.90
ICICIAMC,60,47,78.33,15.12,0.25,1159685.32
ICICIBANK,59,36,61.02,2.93,0.05,1028236.40
ICICIGI,63,41,65.08,-7.82,-0.12,920982.92
ICICIPRULI,60,40,66.67,-6.66,-0.11,932996.83
IDBI,57,39,68.42,4.40,0.08,1038589.82
IDEA,54,36,66.67,1.86,0.03,1011499.48
IDFCFIRSTB,57,37,64.91,1.60,0.03,1013561.65
IEX,60,41,68.33,4.46,0.07,1043108.64
IFCI,63,40,63.49,-17.50,-0.28,814407.06
IGIL,59,50,84.75,17.84,0.30,1191291.54
IGL,57,41,71.93,8.72,0.15,1088300.00
IIFL,61,43,70.49,-3.57,-0.06,957776.37
IKS,59,51,86.44,20.77,0.35,1228820.16
INDGN,55,47,85.45,26.92,0.49,1305920.82
INDHOTEL,55,38,69.09,0.75,0.01,1004829.32
INDIACEM,57,46,80.70,10.82,0.19,1111268.61
INDIAMART,57,47,82.46,7.07,0.12,1070580.58
INDIANB,60,42,70.00,-2.57,-0.04,967461.04
INDIGO,58,28,48.28,-4.91,-0.08,948577.67
INDUSINDBK,58,37,63.79,-4.32,-0.07,954574.00
INDUSTOWER,58,41,70.69,8.90,0.15,1091478.45
INFY,61,25,40.98,-21.83,-0.36,799364.30
INOXWIND,55,35,63.64,-16.91,-0.31,837568.04
INTELLECT,55,34,61.82,-2.63,-0.05,969959.52
IOB,54,34,62.96,-5.03,-0.09,949090.22
IOC,56,29,51.79,-0.66,-0.01,991423.63
IPCALAB,58,42,72.41,-7.37,-0.13,923647.95
IRB,59,41,69.49,-1.02,-0.02,987683.86
IRCON,62,39,62.90,-1.57,-0.03,980029.49
IRCTC,52,39,75.00,0.60,0.01,1004010.64
IREDA,54,33,61.11,-5.26,-0.10,946458.75
IRFC,53,35,66.04,-1.24,-0.02,985873.42
ITC,53,38,71.70,4.82,0.09,1048282.40
ITCHOTELS,59,34,57.63,-22.12,-0.37,796427.27
ITI,54,35,64.81,6.59,0.12,1066167.06
JAINREC,60,40,66.67,-12.98,-0.22,865328.60
JBMA,58,32,55.17,-11.40,-0.20,887917.01
JINDALSAW,59,39,66.10,-3.52,-0.06,959174.57
JINDALSTEL,62,44,70.97,3.12,0.05,1028880.01
JIOFIN,55,25,45.45,-22.15,-0.40,796042.35
JKCEMENT,56,41,73.21,0.33,0.01,999239.12
JKTYRE,60,35,58.33,-14.99,-0.25,854156.78
JMFINANCIL,57,36,63.16,-10.09,-0.18,898752.08
JPPOWER,60,38,63.33,-12.21,-0.20,872297.98
JSL,60,44,73.33,2.30,0.04,1021310.59
JSWCEMENT,55,39,70.91,4.01,0.07,1038989.05
JSWDULUX,61,55,90.16,24.90,0.41,1277244.08
JSWENERGY,58,42,72.41,19.73,0.34,1215670.47
JSWINFRA,58,36,62.07,-10.91,-0.19,889921.61
JSWSTEEL,61,44,72.13,9.24,0.15,1094901.17
JUBLFOOD,61,40,65.57,-0.38,-0.01,989883.91
JUBLINGREA,57,46,80.70,7.73,0.14,1075266.91
JUBLPHARMA,60,49,81.67,29.54,0.49,1339274.84
JWL,59,37,62.71,3.61,0.06,1033644.95
JYOTICNC,58,39,67.24,-6.12,-0.11,932175.75
KAJARIACER,57,44,77.19,16.26,0.29,1173650.76
KALYANKJIL,62,38,61.29,-39.93,-0.64,652726.91
KARURVYSYA,56,44,78.57,10.89,0.19,1106468.05
KAYNES,62,40,64.52,-9.02,-0.15,897981.32
KEC,55,36,65.45,1.87,0.03,1015624.44
KEI,59,39,66.10,-10.22,-0.17,897130.14
KFINTECH,58,45,77.59,17.12,0.30,1182687.45
KIMS,55,45,81.82,17.16,0.31,1184108.03
KIRLOSENG,62,47,75.81,16.48,0.27,1164653.47
KOTAKBANK,56,36,64.29,0.79,0.01,1005120.69
KPIL,60,45,75.00,15.05,0.25,1158590.85
KPITTECH,59,34,57.63,-19.14,-0.32,817064.38
KPRMILL,58,35,60.34,-23.52,-0.41,776172.20
LALPATHLAB,61,47,77.05,14.72,0.24,1155904.47
LATENTVIEW,61,39,63.93,-11.36,-0.19,886229.11
LAURUSLABS,58,40,68.97,-5.76,-0.10,939632.17
LEMONTREE,59,40,67.80,-10.33,-0.18,897699.19
LENSKART,62,46,74.19,20.37,0.33,1221492.81
LGEINDIA,61,45,73.77,7.53,0.12,1072847.72
LICHSGFIN,58,40,68.97,-3.73,-0.06,959886.38
LICI,50,36,72.00,12.47,0.25,1131253.38
LINDEINDIA,58,40,68.97,-7.50,-0.13,924340.42
LLOYDSME,62,44,70.97,-7.08,-0.11,925665.07
LODHA,60,31,51.67,-22.52,-0.38,790004.82
LT,54,35,64.81,-1.78,-0.03,980949.57
LTF,60,41,68.33,-4.81,-0.08,946307.01
LTFOODS,56,40,71.43,12.68,0.23,1130572.96
LTM,57,30,52.63,-28.73,-0.50,743530.18
LTTS,58,40,68.97,7.00,0.12,1066180.13
LUPIN,55,37,67.27,-0.16,-0.00,996384.43
MAHABANK,59,46,77.97,-1.30,-0.02,981754.61
MANAPPURAM,61,33,54.10,3.71,0.06,1032592.33
MANKIND,60,45,75.00,19.82,0.33,1217250.29
MAPMYINDIA,61,40,65.57,5.83,0.10,1052997.97
MARICO,61,53,86.89,18.91,0.31,1206089.67
MARUTI,60,33,55.00,-7.34,-0.12,926389.88
MAXHEALTH,61,51,83.61,16.75,0.27,1177560.74
MAZDOCK,60,41,68.33,-1.66,-0.03,980102.69
MCX,62,41,66.13,-5.15,-0.08,942759.42
MEDANTA,59,47,79.66,14.33,0.24,1150330.25
MEESHO,58,50,86.21,35.28,0.61,1413935.65
MFSL,57,39,68.42,-0.08,-0.00,995674.61
MGL,60,41,68.33,-7.19,-0.12,927104.44
MINDACORP,63,52,82.54,10.73,0.17,1109242.09
MMTC,61,39,63.93,-8.73,-0.14,910491.85
MOTHERSON,59,45,76.27,4.36,0.07,1037809.09
MOTILALOFS,58,48,82.76,-0.57,-0.01,989067.27
MPHASIS,56,28,50.00,-5.59,-0.10,939471.20
MRF,54,30,55.56,-19.58,-0.36,834237.64
MRPL,60,41,68.33,-15.78,-0.26,845733.71
MSUMI,54,40,74.07,1.85,0.03,1015747.86
MUTHOOTFIN,60,32,53.33,-10.87,-0.18,892318.12
NAM-INDIA,58,41,70.69,4.60,0.08,1042816.16
NATCOPHARM,57,43,75.44,8.49,0.15,1081773.82
NATIONALUM,60,30,50.00,-19.28,-0.32,818096.30
NAUKRI,62,38,61.29,-13.10,-0.21,865111.55
NAVA,58,41,70.69,5.63,0.10,1054963.52
NAVINFLUOR,58,41,70.69,-3.05,-0.05,962064.36
NBCC,58,35,60.34,-7.32,-0.13,925792.44
NCC,55,39,70.91,11.00,0.20,1112636.43
NESTLEIND,55,46,83.64,10.94,0.20,1112734.33
NETWEB,61,38,62.30,-12.83,-0.21,865010.99
NEULANDLAB,60,40,66.67,1.93,0.03,1013071.87
NEWGEN,60,41,68.33,10.09,0.17,1095334.25
NH,59,47,79.66,7.18,0.12,1072058.10
NHPC,54,36,66.67,3.04,0.06,1028758.76
NIACL,62,40,64.52,-22.28,-0.36,790080.79
NIVABUPA,57,44,77.19,27.61,0.48,1314676.62
NLCINDIA,58,45,77.59,12.45,0.21,1128782.29
NMDC,56,37,66.07,0.93,0.02,1006728.59
NSLNISP,58,31,53.45,-29.79,-0.51,733625.67
NTPC,58,44,75.86,1.73,0.03,1015944.44
NTPCGREEN,49,36,73.47,-0.13,-0.00,996577.09
NUVAMA,55,36,65.45,5.15,0.09,1046116.13
NUVOCO,59,43,72.88,5.87,0.10,1052661.35
NYKAA,60,45,75.00,4.56,0.08,1042793.18
OBEROIRLTY,61,43,70.49,12.93,0.21,1134692.78
OFSS,60,40,66.67,-1.50,-0.02,978711.45
OIL,60,42,70.00,-5.34,-0.09,941960.19
OLAELEC,60,41,68.33,1.68,0.03,1009209.99
OLECTRA,59,36,61.02,-10.47,-0.18,892952.98
ONESOURCE,60,48,80.00,15.56,0.26,1163272.98
ONGC,59,44,74.58,7.39,0.13,1074125.26
PAGEIND,57,43,75.44,-0.79,-0.01,988647.63
PARADEEP,58,40,68.97,-3.99,-0.07,951339.69
PATANJALI,53,43,81.13,16.63,0.31,1179137.07
PAYTM,60,40,66.67,-16.31,-0.27,842160.59
PCBL,60,35,58.33,-24.30,-0.40,771644.99
PERSISTENT,61,35,57.38,-1.88,-0.03,972714.51
PETRONET,60,41,68.33,2.87,0.05,1025997.23
PFC,58,40,68.97,-6.21,-0.11,934646.52
PFIZER,55,39,70.91,1.19,0.02,1009772.11
PFOCUS,30,25,83.33,20.03,0.67,1216341.98
PGEL,60,41,68.33,3.00,0.05,1024804.17
PHOENIXLTD,56,41,73.21,10.84,0.19,1111116.12
PIDILITIND,59,42,71.19,7.06,0.12,1071345.47
PIIND,53,35,66.04,-8.37,-0.16,913929.25
PINELABS,60,39,65.00,-3.32,-0.06,958330.02
PIRAMALFIN,58,48,82.76,18.28,0.32,1196811.89
PNB,60,40,66.67,0.57,0.01,1003360.63
PNBHOUSING,60,34,56.67,-8.30,-0.14,916705.21
POLICYBZR,62,46,74.19,15.12,0.24,1158971.65
POLYCAB,55,35,63.64,-1.13,-0.02,985736.91
POLYMED,60,43,71.67,18.24,0.30,1193168.31
POONAWALLA,63,48,76.19,9.44,0.15,1093805.54
POWERGRID,61,48,78.69,11.08,0.18,1113994.22
POWERINDIA,61,44,72.13,-8.61,-0.14,914008.01
PPLPHARMA,55,50,90.91,30.30,0.55,1349149.07
PREMIERENE,59,48,81.36,16.99,0.29,1182130.32
PRESTIGE,61,41,67.21,2.22,0.04,1016792.74
PTCIL,57,37,64.91,-5.44,-0.10,938677.72
PVRINOX,57,49,85.96,15.56,0.27,1162875.77
PWL,61,41,67.21,-11.16,-0.18,877341.28
RADICO,53,38,71.70,6.37,0.12,1063527.77
RAILTEL,59,33,55.93,-13.56,-0.23,870087.29
RAINBOW,61,53,86.89,28.26,0.46,1322456.01
RAMCOCEM,59,48,81.36,7.58,0.13,1075312.97
RBLBANK,57,45,78.95,3.81,0.07,1034445.69
RECLTD,56,40,71.43,5.97,0.11,1058170.70
REDINGTON,56,44,78.57,-5.04,-0.09,941293.50
RELIANCE,56,36,64.29,-1.77,-0.03,980523.32
RHIM,58,38,65.52,-29.54,-0.51,730451.14
RITES,60,39,65.00,-4.95,-0.08,947176.30
RKFORGE,54,36,66.67,4.73,0.09,1041050.85
RPOWER,60,39,65.00,-22.11,-0.37,793612.33
RRKABEL,61,45,73.77,23.35,0.38,1248215.84
RVNL,57,30,52.63,-11.63,-0.20,887063.57
SAGILITY,56,44,78.57,3.36,0.06,1028437.81
SAIL,58,37,63.79,-0.20,-0.00,993020.54
SAILIFE,60,47,78.33,8.98,0.15,1090655.07
SAMMAANCAP,57,36,63.16,-11.37,-0.20,888219.43
SAPPHIRE,60,46,76.67,4.11,0.07,1031973.71
SARDAEN,59,43,72.88,8.46,0.14,1085428.76
SAREGAMA,61,50,81.97,13.25,0.22,1135743.27
SBFC,59,42,71.19,9.25,0.16,1088925.98
SBICARD,61,39,63.93,-10.64,-0.17,894805.54
SBILIFE,54,46,85.19,20.69,0.38,1228098.11
SBIN,57,33,57.89,-6.36,-0.11,936139.41
SCHAEFFLER,58,44,75.86,6.43,0.11,1064492.94
SCHNEIDER,63,45,71.43,6.50,0.10,1048882.38
SCI,54,34,62.96,-5.52,-0.10,941675.51
SHREECEM,58,33,56.90,-15.75,-0.27,853088.37
SHRIRAMFIN,61,40,65.57,-1.62,-0.03,978123.38
SHYAMMETL,55,43,78.18,13.77,0.25,1145093.86
SIEMENS,63,43,68.25,8.26,0.13,1083554.62
SIGNATURE,58,38,65.52,4.05,0.07,1036250.20
SJVN,57,38,66.67,-2.20,-0.04,976391.55
SOBHA,56,42,75.00,26.21,0.47,1292477.36
SOLARINDS,59,42,71.19,-0.95,-0.02,982372.40
SONACOMS,60,47,78.33,33.25,0.55,1390936.02
SONATSOFTW,59,42,71.19,-1.02,-0.02,982153.12
SPLPETRO,62,46,74.19,18.07,0.29,1191339.76
SRF,56,39,69.64,2.01,0.04,1014968.29
STARHEALTH,59,46,77.97,15.25,0.26,1160922.76
SUMICHEM,62,43,69.35,-11.41,-0.18,876505.98
SUNDARMFIN,60,41,68.33,-17.80,-0.30,833747.13
SUNPHARMA,59,47,79.66,14.30,0.24,1152806.53
SUNTV,57,43,75.44,10.23,0.18,1105413.71
SUPREMEIND,62,44,70.97,-2.92,-0.05,966222.11
SUZLON,54,35,64.81,2.03,0.04,1015936.49
SWANCORP,57,44,77.19,12.60,0.22,1131120.24
SWIGGY,60,35,58.33,-18.82,-0.31,821664.38
SYNGENE,59,48,81.36,22.59,0.38,1250483.62
SYRMA,63,41,65.08,-2.32,-0.04,969415.87
TARIL,53,38,71.70,9.14,0.17,1090733.66
TATACAP,63,37,58.73,-4.30,-0.07,952988.37
TATACHEM,60,37,61.67,-3.98,-0.07,957060.22
TATACOMM,61,51,83.61,14.60,0.24,1154343.08
TATACONSUM,54,40,74.07,10.54,0.20,1108445.44
TATAELXSI,55,35,63.64,1.44,0.03,1010647.36
TATAINVEST,57,34,59.65,-10.07,-0.18,900853.32
TATAPOWER,55,36,65.45,2.98,0.05,1029270.11
TATASTEEL,59,36,61.02,3.26,0.06,1031901.70
TATATECH,64,40,62.50,-18.14,-0.28,823771.47
TBOTEK,59,46,77.97,0.13,0.00,990784.93
TCS,63,32,50.79,-12.14,-0.19,878970.05
TECHM,63,38,60.32,2.45,0.04,1017374.44
TECHNOE,58,45,77.59,11.90,0.21,1122496.05
TEGA,61,46,75.41,4.03,0.07,1036445.01
TEJASNET,59,28,47.46,-36.42,-0.62,686666.40
TENNIND,62,42,67.74,9.05,0.15,1090307.71
THELEELA,59,46,77.97,29.66,0.50,1335310.41
THERMAX,55,38,69.09,11.77,0.21,1110936.82
TIINDIA,59,44,74.58,0.17,0.00,995008.72
TIMKEN,57,40,70.18,-1.79,-0.03,979189.35
TITAGARH,61,41,67.21,2.63,0.04,1020678.04
TITAN,58,34,58.62,0.04,0.00,997998.70
TMCV,58,38,65.52,-9.85,-0.17,899423.26
TMPV,58,31,53.45,-5.80,-0.10,940701.28
TORNTPHARM,54,45,83.33,18.68,0.35,1201876.09
TORNTPOWER,58,46,79.31,4.12,0.07,1038973.17
TRAVELFOOD,60,48,80.00,10.90,0.18,1109705.48
TRENT,57,40,70.18,-2.80,-0.05,965272.93
TRIDENT,57,33,57.89,1.72,0.03,1014376.37
TRITURBINE,59,48,81.36,6.54,0.11,1060618.52
TTML,58,41,70.69,13.72,0.24,1140315.56
TVSMOTOR,58,41,70.69,2.28,0.04,1019219.69
UBL,53,41,77.36,7.46,0.14,1075162.08
UCOBANK,59,36,61.02,-2.41,-0.04,973023.62
ULTRACEMCO,59,36,61.02,-0.73,-0.01,990648.26
UNIONBANK,57,38,66.67,-3.70,-0.06,958725.83
UNITDSPR,58,43,74.14,8.56,0.15,1087101.90
UNOMINDA,55,36,65.45,-1.46,-0.03,982097.43
UPL,58,35,60.34,-6.77,-0.12,931762.98
URBANCO,61,44,72.13,3.46,0.06,1025502.80
