symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent,capital
ENGINERSIN,234,156,66.67,-15.96,-0.07,877449.11
ENRIN,225,148,65.78,-49.26,-0.22,579153.97
ERIS,227,185,81.50,60.54,0.27,2322967.49
ESCORTS,217,132,60.83,-43.36,-0.20,562406.42
ETERNAL,235,140,59.57,-1.47,-0.01,955603.91
EXIDEIND,224,141,62.95,-23.94,-0.11,706383.87
FACT,228,138,60.53,-49.15,-0.22,676375.50
FEDERALBNK,223,164,73.54,6.18,0.03,1060465.90
FINCABLES,222,148,66.67,-30.03,-0.14,722115.16
FIRSTCRY,228,158,69.30,-13.30,-0.06,847336.51
FIVESTAR,224,148,66.07,-33.20,-0.15,694343.79
FLUOROCHEM,227,172,75.77,34.22,0.15,1642723.42
FORCEMOT,226,125,55.31,-104.10,-0.46,585135.10
FORTIS,228,148,64.91,4.75,0.02,1042458.11
FSL,245,103,42.04,-79.62,-0.32,524692.96
GABRIEL,230,154,66.96,-25.83,-0.11,662859.12
GAIL,225,77,34.22,-11.02,-0.05,896782.01
GALLANTT,230,159,69.13,-14.52,-0.06,578092.72
GESHIP,225,162,72.00,13.16,0.06,1113009.31
GICRE,248,11,4.44,-15.06,-0.06,902606.23
GILLETTE,229,103,44.98,-38.33,-0.17,735467.72
GLAND,230,168,73.04,41.59,0.18,1726538.22
GLAXO,237,65,27.43,-21.86,-0.09,837570.95
GLENMARK,226,169,74.78,32.86,0.15,1479104.16
GMDCLTD,232,146,62.93,-26.66,-0.11,809527.04
GMRAIRPORT,233,143,61.37,-10.52,-0.05,831358.27
GODFRYPHLP,219,121,55.25,-64.59,-0.29,533481.10
GODIGIT,223,179,80.27,102.69,0.46,4671894.80
GODREJCP,232,167,71.98,26.75,0.12,1304535.68
GODREJIND,230,168,73.04,16.90,0.07,1135368.06
GODREJPROP,231,130,56.28,-58.73,-0.25,607017.24
GPIL,229,153,66.81,34.83,0.15,1340269.91
GRANULES,227,168,74.01,31.64,0.14,1369814.63
GRAPHITE,228,144,63.16,-48.85,-0.21,628082.50
GRASIM,222,146,65.77,-3.60,-0.02,954897.23
GRAVITA,229,154,67.25,12.49,0.05,1081671.80
GROWW,183,118,64.48,-27.71,-0.15,727650.66
GRSE,236,140,59.32,-36.52,-0.15,777718.68
HAL,219,139,63.47,-26.59,-0.12,817763.70
HAVELLS,220,143,65.00,2.83,0.01,1025247.17
HBLENGINE,224,136,60.71,-40.81,-0.18,681690.55
HCLTECH,223,135,60.54,-3.50,-0.02,950933.12
HDBFS,223,141,63.23,-16.08,-0.07,846888.10
HDFCAMC,240,58,24.17,-60.52,-0.25,428215.16
HDFCBANK,221,132,59.73,35.20,0.16,1412958.42
HDFCLIFE,216,140,64.81,11.23,0.05,1140370.23
HEROMOTOCO,224,130,58.04,-34.72,-0.16,759814.13
HEXT,231,161,69.70,42.49,0.18,1680769.85
HINDALCO,231,134,58.01,7.26,0.03,1056929.11
HINDCOPPER,228,135,59.21,-49.15,-0.22,582870.22
HINDPETRO,248,20,8.06,-24.48,-0.10,855205.17
HINDUNILVR,210,154,73.33,15.67,0.07,1183876.38
HINDZINC,240,116,48.33,-41.84,-0.17,705500.65
HOMEFIRST,217,152,70.05,-4.44,-0.02,926516.45
HONASA,233,173,74.25,76.10,0.33,2058687.16
HONAUT,212,153,72.17,-14.36,-0.07,793755.60
HSCL,229,146,63.76,9.23,0.04,1067431.59
HUDCO,223,143,64.13,-16.03,-0.07,864895.42
HYUNDAI,222,151,68.02,5.69,0.03,1046510.52
ICICIAMC,154,112,72.73,13.71,0.09,1129002.61
ICICIBANK,217,126,58.06,11.17,0.05,1116033.91
ICICIGI,221,156,70.59,11.58,0.05,1133650.11
ICICIPRULI,221,142,64.25,-7.25,-0.03,911883.09
IDBI,228,147,64.47,-27.20,-0.12,746007.28
IDEA,229,151,65.94,22.55,0.10,1164823.44
IDFCFIRSTB,220,141,64.09,-12.91,-0.06,840251.06
IEX,221,132,59.73,-23.01,-0.10,768568.41
IFCI,238,126,52.94,-92.85,-0.39,458499.87
IGIL,229,162,70.74,-0.63,-0.00,967804.35
IGL,223,140,62.78,-9.34,-0.04,890098.07
IIFL,222,140,63.06,-19.30,-0.09,754666.28
IKS,227,171,75.33,50.47,0.22,1751355.27
INDGN,220,167,75.91,53.04,0.24,1975100.95
INDHOTEL,224,149,66.52,-3.94,-0.02,949317.51
INDIACEM,226,160,70.80,17.46,0.08,1189720.71
INDIAMART,216,164,75.93,36.81,0.17,1556856.29
INDIANB,239,89,37.24,-9.20,-0.04,893969.32
INDIGO,228,115,50.44,-33.38,-0.15,630330.13
INDUSINDBK,222,143,64.41,-20.44,-0.09,830039.99
INDUSTOWER,244,20,8.20,-16.38,-0.07,856089.03
INFY,243,53,21.81,-47.80,-0.20,649499.37
INOXWIND,229,137,59.83,-66.32,-0.29,726944.49
INTELLECT,222,141,63.51,-8.97,-0.04,911078.72
IOB,210,124,59.05,-2.98,-0.01,966222.11
IOC,232,90,38.79,6.14,0.03,1040600.35
IPCALAB,220,175,79.55,51.20,0.23,1873780.99
IRB,237,63,26.58,-15.65,-0.07,903525.30
IRCON,234,135,57.69,-46.77,-0.20,695925.45
IRCTC,213,144,67.61,1.86,0.01,1008460.19
IREDA,224,130,58.04,-8.38,-0.04,913135.20
IRFC,217,123,56.68,-16.19,-0.07,863711.50
ITC,236,42,17.80,-51.80,-0.22,670041.24
ITCHOTELS,214,128,59.81,-32.66,-0.15,639835.44
ITI,216,126,58.33,-17.76,-0.08,861073.37
JAINREC,213,147,69.01,-8.68,-0.04,845095.97
JBMA,228,130,57.02,-76.53,-0.34,642689.18
JINDALSAW,223,144,64.57,-41.48,-0.19,654676.94
JINDALSTEL,218,144,66.06,-1.59,-0.01,961818.17
JIOFIN,216,108,50.00,-44.13,-0.20,671992.02
JKCEMENT,214,149,69.63,-34.55,-0.16,568559.67
JKTYRE,229,138,60.26,-26.03,-0.11,764764.48
JMFINANCIL,224,134,59.82,-49.95,-0.22,553123.72
JPPOWER,229,139,60.70,-21.79,-0.10,757500.80
JSL,224,154,68.75,7.79,0.03,1066483.32
JSWCEMENT,223,143,64.13,-3.43,-0.02,945411.56
JSWDULUX,221,189,85.52,83.92,0.38,3325923.77
JSWENERGY,228,142,62.28,-6.57,-0.03,923974.51
JSWINFRA,225,130,57.78,-27.45,-0.12,746085.80
JSWSTEEL,219,150,68.49,10.73,0.05,1139591.14
JUBLFOOD,218,146,66.97,-2.35,-0.01,953069.97
JUBLINGREA,224,159,70.98,2.42,0.01,997323.78
JUBLPHARMA,227,169,74.45,54.97,0.24,2324969.64
JWL,233,147,63.09,-15.74,-0.07,780893.17
JYOTICNC,224,149,66.52,-30.11,-0.13,742275.29
KAJARIACER,225,155,68.89,1.94,0.01,996391.31
KALYANKJIL,226,129,57.08,-92.70,-0.41,41602.82
KARURVYSYA,227,162,71.37,-2.37,-0.01,960417.26
KAYNES,231,132,57.14,-61.75,-0.27,382196.11
KEC,220,141,64.09,-13.05,-0.06,868723.41
KEI,226,147,65.04,-14.82,-0.07,892444.68
KFINTECH,223,146,65.47,-9.60,-0.04,914466.12
KIMS,221,162,73.30,40.71,0.18,1628770.01
KIRLOSENG,229,159,69.43,1.77,0.01,973349.62
KOTAKBANK,229,84,36.68,6.62,0.03,1059415.35
KPIL,226,172,76.11,34.18,0.15,1465606.41
KPITTECH,228,137,60.09,-31.70,-0.14,718041.10
KPRMILL,223,155,69.51,39.16,0.18,1570730.79
LALPATHLAB,235,121,51.49,-1.85,-0.01,951904.15
LATENTVIEW,228,157,68.86,-24.27,-0.11,702408.48
LAURUSLABS,220,150,68.18,-1.15,-0.01,968972.42
LEMONTREE,231,157,67.97,-2.85,-0.01,937778.46
LENSKART,185,122,65.95,25.32,0.14,1253147.02
LGEINDIA,201,133,66.17,4.74,0.02,1031156.92
LICHSGFIN,210,138,65.71,-6.32,-0.03,923025.63
LICI,237,29,12.24,-23.01,-0.10,822452.48
LINDEINDIA,219,166,75.80,23.75,0.11,1348937.52
LLOYDSME,233,150,64.38,-23.39,-0.10,850521.91
LODHA,229,144,62.88,-32.91,-0.14,717804.05
LT,213,133,62.44,-8.31,-0.04,906727.99
LTF,231,139,60.17,-26.37,-0.11,699805.45
LTFOODS,224,155,69.20,20.63,0.09,1263967.45
LTM,222,134,60.36,-43.73,-0.20,688627.27
LTTS,218,143,65.60,-8.85,-0.04,872476.05
LUPIN,217,148,68.20,12.16,0.06,1125500.49
MAHABANK,226,139,61.50,-25.29,-0.11,738332.83
MANAPPURAM,230,149,64.78,15.75,0.07,1137159.42
MANKIND,227,164,72.25,39.49,0.17,1574954.30
MAPMYINDIA,230,154,66.96,-20.20,-0.09,653521.32
MARICO,220,166,75.45,57.54,0.26,2023668.92
MARUTI,214,127,59.35,-13.69,-0.06,863099.57
MAXHEALTH,225,165,73.33,44.10,0.20,1677146.83
MAZDOCK,226,138,61.06,-31.99,-0.14,724364.92
MCX,241,90,37.34,-2.13,-0.01,952984.45
MEDANTA,217,152,70.05,19.44,0.09,1304789.55
MEESHO,168,118,70.24,-6.71,-0.04,885879.62
MFSL,226,153,67.70,20.98,0.09,1260874.63
MGL,222,149,67.12,-24.07,-0.11,804222.54
MINDACORP,230,158,68.70,15.44,0.07,1160238.61
MMTC,229,141,61.57,-71.89,-0.31,564279.42
MOTHERSON,228,144,63.16,-8.20,-0.04,936232.25
MOTILALOFS,234,155,66.24,-35.97,-0.15,769903.25
MPHASIS,243,56,23.05,-15.42,-0.06,830904.97
MRF,203,134,66.01,-21.64,-0.11,848335.56
MRPL,239,132,55.23,23.20,0.10,1139838.66
MSUMI,226,158,69.91,32.59,0.14,1327910.72
MUTHOOTFIN,223,120,53.81,-48.28,-0.22,597259.57
NAM-INDIA,226,145,64.16,-42.37,-0.19,705608.01
NATCOPHARM,225,166,73.78,40.95,0.18,1336375.48
NATIONALUM,229,118,51.53,-67.92,-0.30,462331.39
NAUKRI,227,148,65.20,-6.77,-0.03,924218.79
NAVA,223,154,69.06,-6.91,-0.03,910548.22
NAVINFLUOR,219,143,65.30,3.66,0.02,1016492.63
NBCC,228,133,58.33,-38.08,-0.17,701065.75
NCC,218,128,58.72,-10.32,-0.05,870176.54
NESTLEIND,211,165,78.20,41.21,0.20,1463419.94
NETWEB,239,143,59.83,-65.49,-0.27,717288.06
NEULANDLAB,229,156,68.12,2.00,0.01,985371.85
NEWGEN,228,138,60.53,-56.49,-0.25,761732.83
NH,218,166,76.15,32.89,0.15,1634954.89
NHPC,218,140,64.22,-7.52,-0.03,910760.97
NIACL,219,134,61.19,-59.44,-0.27,656834.61
NIVABUPA,225,160,71.11,75.89,0.34,2329649.74
NLCINDIA,228,167,73.25,33.86,0.15,1377639.02
NMDC,237,88,37.13,-6.77,-0.03,929397.33
NSLNISP,225,135,60.00,-66.25,-0.29,629325.64
NTPC,206,143,69.42,13.12,0.06,1151788.23
NTPCGREEN,208,142,68.27,9.38,0.05,1091243.38
NUVAMA,229,86,37.55,-20.37,-0.09,843537.30
NUVOCO,224,161,71.88,26.07,0.12,1427765.54
NYKAA,228,161,70.61,27.27,0.12,1436576.84
OBEROIRLTY,219,146,66.67,20.29,0.09,1258442.35
OFSS,239,67,28.03,-56.16,-0.23,791540.90
OIL,227,154,67.84,-27.42,-0.12,740678.91
OLAELEC,182,119,65.38,-38.32,-0.21,692815.00
OLECTRA,221,133,60.18,-71.38,-0.32,531405.43
ONESOURCE,224,168,75.00,26.84,0.12,1410593.12
ONGC,233,92,39.48,4.05,0.02,1021771.78
PAGEIND,221,158,71.49,9.44,0.04,1090204.28
PARADEEP,227,148,65.20,-28.01,-0.12,704461.40
PATANJALI,210,147,70.00,35.78,0.17,1263704.49
PAYTM,230,142,61.74,-34.73,-0.15,554622.56
PCBL,223,134,60.09,-68.96,-0.31,573969.59
PERSISTENT,225,142,63.11,-7.06,-0.03,917884.48
PETRONET,237,120,50.63,-24.35,-0.10,827165.09
PFC,226,138,61.06,-15.76,-0.07,866151.91
PFIZER,222,156,70.27,28.81,0.13,1384290.33
PFOCUS,191,144,75.39,56.97,0.30,1985826.79
PGEL,233,154,66.09,-30.80,-0.13,611126.59
PHOENIXLTD,219,160,73.06,40.60,0.19,1446511.79
PIDILITIND,218,134,61.47,3.55,0.02,1023756.77
PIIND,211,136,64.45,1.69,0.01,998088.28
PINELABS,183,120,65.57,7.21,0.04,1033933.95
PIRAMALFIN,180,149,82.78,72.05,0.40,2031285.36
PNB,241,53,21.99,-14.47,-0.06,887334.66
PNBHOUSING,216,126,58.33,-47.91,-0.22,659601.61
POLICYBZR,227,154,67.84,10.03,0.04,1072854.09
POLYCAB,213,130,61.03,-18.30,-0.09,858126.37
POLYMED,232,156,67.24,-34.66,-0.15,631196.22
POONAWALLA,231,159,68.83,-2.76,-0.01,943171.08
POWERGRID,219,155,70.78,47.06,0.21,1566982.18
POWERINDIA,233,147,63.09,-52.96,-0.23,732262.79
PPLPHARMA,227,164,72.25,14.28,0.06,1140129.60
PREMIERENE,227,155,68.28,18.60,0.08,1126645.58
PRESTIGE,224,146,65.18,-5.33,-0.02,913222.13
PTCIL,222,151,68.02,9.33,0.04,1097586.09
PVRINOX,220,155,70.45,7.74,0.04,1053494.96
PWL,176,117,66.48,-8.96,-0.05,876517.96
RADICO,212,146,68.87,-18.08,-0.09,836089.41
RAILTEL,221,120,54.30,-61.90,-0.28,610173.72
RAINBOW,228,185,81.14,87.63,0.38,3048532.00
RAMCOCEM,223,167,74.89,28.51,0.13,1443466.50
RBLBANK,229,161,70.31,13.27,0.06,1148970.76
RECLTD,225,135,60.00,-16.84,-0.07,873399.81
REDINGTON,240,91,37.92,-71.27,-0.30,320110.86
RELIANCE,220,146,66.36,8.43,0.04,1072090.16
RHIM,218,143,65.60,-87.13,-0.40,362666.10
RITES,228,134,58.77,-32.15,-0.14,794100.51
RKFORGE,223,159,71.30,5.43,0.02,1029693.77
RPOWER,230,139,60.43,-39.03,-0.17,748248.42
RRKABEL,238,156,65.55,14.26,0.06,1145588.95
RVNL,227,126,55.51,-48.79,-0.21,662369.40
SAGILITY,221,148,66.97,6.32,0.03,1054952.73
SAIL,220,140,63.64,-11.99,-0.05,881620.92
SAILIFE,223,159,71.30,27.82,0.12,1313903.29
SAMMAANCAP,230,140,60.87,-83.23,-0.36,642891.54
SAPPHIRE,230,158,68.70,-9.18,-0.04,704013.64
SARDAEN,227,156,68.72,11.57,0.05,1107301.44
SAREGAMA,227,163,71.81,2.75,0.01,993543.95
SBFC,224,159,70.98,22.23,0.10,1424057.34
SBICARD,229,136,59.39,-29.24,-0.13,659114.94
SBILIFE,211,151,71.56,25.10,0.12,1314104.15
SBIN,213,125,58.69,-11.33,-0.05,881120.19
SCHAEFFLER,219,146,66.67,-16.59,-0.08,735415.68
SCHNEIDER,177,119,67.23,-9.20,-0.05,876028.03
SCI,229,129,56.33,-49.49,-0.22,692985.08
SHREECEM,214,146,68.22,5.87,0.03,1058699.44
SHRIRAMFIN,228,135,59.21,-37.40,-0.16,701124.43
SHYAMMETL,226,162,71.68,40.59,0.18,1554285.15
SIEMENS,233,164,70.39,4.55,0.02,1022513.40
SIGNATURE,222,145,65.32,-2.28,-0.01,947432.00
SJVN,224,134,59.82,-42.36,-0.19,707454.21
SOBHA,226,161,71.24,41.36,0.18,1681905.25
SOLARINDS,223,155,69.51,-0.84,-0.00,975511.89
SONACOMS,225,152,67.56,44.13,0.20,1877263.83
SONATSOFTW,225,147,65.33,-34.77,-0.15,743980.94
SPLPETRO,230,168,73.04,52.86,0.23,2103307.95
SRF,224,142,63.39,-4.73,-0.02,924879.35
STARHEALTH,221,162,73.30,56.00,0.25,2168549.55
SUMICHEM,228,161,70.61,3.82,0.02,999139.42
SUNDARMFIN,224,168,75.00,16.55,0.07,1187910.14
SUNPHARMA,222,170,76.58,35.69,0.16,1518480.89
SUNTV,220,165,75.00,-3.43,-0.02,881653.33
SUPREMEIND,223,153,68.61,-4.57,-0.02,930716.72
SUZLON,220,126,57.27,-20.38,-0.09,748243.20
SWANCORP,227,157,69.16,6.15,0.03,1028951.85
SWIGGY,233,147,63.09,-37.16,-0.16,629758.72
SYNGENE,219,151,68.95,15.63,0.07,1149354.09
SYRMA,233,144,61.80,-39.33,-0.17,539643.47
TARIL,223,143,64.13,-81.36,-0.36,346843.33
TATACAP,194,126,64.95,-1.49,-0.01,970684.97
TATACHEM,216,128,59.26,-33.51,-0.16,693660.32
TATACOMM,229,165,72.05,-14.13,-0.06,820169.48
TATACONSUM,219,164,74.89,37.96,0.17,1561709.79
TATAELXSI,217,138,63.59,-16.77,-0.08,828617.10
TATAINVEST,228,110,48.25,-36.98,-0.16,775694.15
TATAPOWER,218,141,64.68,11.16,0.05,1100912.24
TATASTEEL,212,120,56.60,-8.50,-0.04,903288.83
TATATECH,235,143,60.85,-54.16,-0.23,666967.91
TBOTEK,226,157,69.47,18.20,0.08,1214218.79
TCS,213,117,54.93,-23.27,-0.11,750183.52
TECHM,247,52,21.05,2.62,0.01,998969.49
TECHNOE,229,149,65.07,-20.05,-0.09,720535.24
TEGA,228,155,67.98,4.24,0.02,1033647.85
TEJASNET,221,120,54.30,-128.93,-0.58,452343.25
TENNIND,184,126,68.48,26.98,0.15,1284436.19
THELEELA,231,183,79.22,108.50,0.47,2807306.89
THERMAX,221,155,70.14,23.16,0.10,1150784.67
TIINDIA,235,158,67.23,6.81,0.03,1035050.93
TIMKEN,220,161,73.18,27.31,0.12,1345082.17
TITAGARH,224,132,58.93,-47.53,-0.21,702126.47
TITAN,216,138,63.89,13.58,0.06,1127910.12
TMCV,169,104,61.54,-25.62,-0.15,753674.48
TMPV,228,115,50.44,-67.34,-0.30,613969.62
TORNTPHARM,210,167,79.52,41.79,0.20,1759077.51
TORNTPOWER,226,161,71.24,-6.70,-0.03,908281.68
TRAVELFOOD,225,166,73.78,56.97,0.25,1707390.72
TRENT,240,38,15.83,-48.98,-0.20,788226.85
TRIDENT,237,73,30.80,-15.51,-0.07,869593.33
TRITURBINE,225,163,72.44,20.44,0.09,1134263.05
TTML,219,132,60.27,-34.22,-0.16,746000.64
TVSMOTOR,220,145,65.91,-4.83,-0.02,941416.22
UBL,206,144,69.90,21.15,0.10,1286458.60
UCOBANK,225,135,60.00,-26.11,-0.12,797797.98
ULTRACEMCO,243,38,15.64,-23.59,-0.10,777088.23
UNIONBANK,242,56,23.14,-19.64,-0.08,837771.71
UNITDSPR,218,150,68.81,19.87,0.09,1233566.18
UNOMINDA,220,144,65.45,-11.74,-0.05,863783.80
UPL,217,143,65.90,4.11,0.02,1030394.80
