date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-02-24,660,666.15,643.65,653.55,655.59,207065,93381,45.1,135749110.1,26202
2025-02-25,648.35,656.95,637,640.3,641.9,301032,202501,67.27,193232463.3,32420
2025-02-27,640,646.8,622,630.55,630.65,465022,339379,72.98,293266035.75,30296
2025-02-28,605.05,634.65,605.05,615.5,618.58,283287,132545,46.79,175236051.5,33533
2025-03-03,615.5,618.95,595.3,610.35,608.15,249217,143426,57.55,151561738.55,36686
2025-03-04,603.35,615.65,596,605.5,606.55,207618,101800,49.03,125931192,30387
2025-03-05,610,630.15,604.8,612.25,617.9,261578,131745,50.37,161627916.35,35414
2025-03-06,619,628.4,611.2,616.65,618.78,351053,204855,58.35,217223337.85,34429
2025-03-07,611.5,623,611.5,619.55,618.34,360176,248033,68.86,222711874.55,23618
2025-03-10,620,624,589.25,591.5,606.2,204056,98633,48.34,123697815.5,21925
2025-03-11,580,600.5,575.3,592.55,591.44,255160,120383,47.18,150910976.75,30757
2025-03-12,596.4,617.5,587,606.85,603.3,327080,132723,40.58,197328320,32098
2025-03-13,607,610.8,590,591.2,597.65,193972,106838,55.08,115927444.25,22681
2025-03-17,603.45,608,588,593,595.14,226094,113311,50.12,134557803.55,40573
2025-03-18,597,607.75,592,595.15,596.25,457467,311821,68.16,272763327.85,25584
2025-03-19,598,639.8,597,632.9,620.53,449480,215750,48,278914970.25,49092
2025-03-20,633.7,648.05,626.15,638.8,637.8,210591,92806,44.07,134314784.85,21080
2025-03-21,643.4,653.65,633.6,638.6,640.29,351796,217707,61.88,225250147.7,26035
2025-03-24,645,662,638.6,648.25,650.22,271303,125485,46.25,176405618.35,27437
2025-03-25,647.7,659.4,642.85,647.1,651.12,279063,143729,51.5,181704556.25,31182
2025-03-26,650,650,628.6,630.45,638.02,174857,80816,46.22,111561482.7,21511
2025-03-27,625.1,647.9,621,643.65,638.44,197182,95758,48.56,125888045.7,27781
2025-03-28,650,654.55,634.35,636.7,643.77,158171,80682,51.01,101825810.9,17468
2025-04-01,636.25,652.2,630,641.4,641,133536,57369,42.96,85596835.15,15219
2025-04-02,642,650.45,630.6,648.85,641.66,103458,51104,49.4,66384904.1,14013
2025-04-03,645.5,667.45,642.2,663.2,657.12,159918,76424,47.79,105084541.85,16661
2025-04-04,662,662,649.95,654.5,653.6,283426,199669,70.45,185246746.5,20186
2025-04-07,556.45,646,556.45,633.8,621.92,238523,89412,37.49,148342762.75,30304
2025-04-08,634.25,644.95,620.1,623.35,628.12,245581,141470,57.61,154254688.95,29095
2025-04-09,623.35,627.4,616.7,619.9,619.66,242609,186976,77.07,150334144.55,22211
2025-04-11,634.95,643.55,615.35,625.05,626.16,616815,465670,75.5,386224268.95,26874
2025-04-15,630,641.5,625,629.05,632.07,199529,103789,52.02,126116128.4,21639
2025-04-16,631.95,638.8,623.05,633.9,632.6,167694,78401,46.75,106083331.25,17902
2025-04-17,639,639,618.05,626.05,625.92,264741,179094,67.65,165707636.35,23933
2025-04-21,634.55,661.75,593.85,644.1,637.87,846279,387842,45.83,539813492.35,56324
2025-04-22,649,682.6,645,665.95,667.96,422250,179534,42.52,282044599.2,30025
2025-04-23,668.8,676,657,667.15,666.71,282674,153329,54.24,188461675.2,20905
2025-04-24,667,667,652.3,654.15,659.78,139895,74866,53.52,92300619.1,15369
2025-04-25,660,662.95,634.1,642.3,643.36,281572,142845,50.73,181150779.25,34704
2025-04-28,645,658,631.25,642.25,644.11,737843,175991,23.85,475250354,47461
2025-04-29,648.75,686,648.75,673.7,670.48,1336746,503196,37.64,896261828.9,69956
2025-04-30,675,679.2,657.6,661.5,668.55,380821,269360,70.73,254599723.8,21779
2025-05-02,654.05,673,636.9,657.45,654.61,605972,248695,41.04,396672924.95,48737
2025-05-05,657.45,665,645.6,661.15,655.64,311784,154694,49.62,204419569.4,32694
2025-05-06,660.5,666.9,630,632.6,641.77,385873,249738,64.72,247642904.65,23266
2025-05-07,630.55,648.8,630,647.7,641.12,194991,75557,38.75,125013030.1,22089
2025-05-08,648.8,660.6,639.6,644.8,651.34,241426,131144,54.32,157249897.95,21093
2025-05-09,623,650.45,623,643.75,636.01,249278,103114,41.37,158542197.35,23418
2025-05-12,652.8,687.5,652.8,681.45,677.08,473151,255842,54.07,320360773.65,19846
2025-05-13,680.05,685.95,668,673.65,676.81,266433,141242,53.01,180324398.75,17436
2025-05-14,677.9,696.1,670,682.6,681.64,419057,267707,63.88,285644865.3,22474
2025-05-15,686,691.75,676.6,679.55,682.56,673245,518441,77.01,459530067.8,20877
2025-05-16,680,711.7,678.9,707.95,693.64,1096577,826517,75.37,760624273.75,29252
2025-05-19,707.95,739.5,703.8,724.85,724.84,885716,592881,66.94,642005880.55,39013
2025-05-20,732,732,698.4,701.35,711.61,175668,92594,52.71,125006474.25,17046
2025-05-21,698.25,720,697,710.2,708.23,858151,716768,83.52,607764128.1,16872
2025-05-22,714.8,721.95,703.9,708.15,708.55,392276,248923,63.46,277947010.05,14734
2025-05-23,705,723.9,702.9,721.75,715.88,134488,62618,46.56,96277290.3,8879
2025-05-26,729.2,734.9,724,731.1,730.73,302981,197506,65.19,221397096.9,19692
2025-05-27,731.1,734,721.5,723.1,724.83,154874,94193,60.82,112257794.1,14123
2025-05-28,727.8,738,723.6,735.8,734.32,139911,79073,56.52,102739510.65,7696
2025-05-29,737.95,741.4,722.3,724.5,728.09,122715,58299,47.51,89348040.1,9636
2025-05-30,729.2,759.8,723.55,747.05,747.56,534903,332727,62.2,399872813,23458
2025-06-02,750,759.4,740.95,749.6,751.21,192435,116580,60.58,144558998.3,12755
2025-06-03,757.1,763.5,745.5,752.3,758.27,505907,383446,75.79,383614743.45,15638
2025-06-04,750.5,764.35,749.9,761.65,760.15,445757,352466,79.07,338841853.1,15457
2025-06-05,765,765,751,755.55,757.79,335002,266230,79.47,253859663.45,14911
2025-06-06,761.9,797,755.75,778.7,781.73,476043,151290,31.78,372138250.65,29579
2025-06-09,792,822,783.25,808.7,807.47,584495,225848,38.64,471959425.35,33974
2025-06-10,813.8,818.7,796,800.95,805.04,339123,172658,50.91,273008772.45,27321
2025-06-11,808,808,778.15,783.3,793.04,433458,219322,50.6,343749827.2,36727
2025-06-12,782.15,805,778,785.4,790.65,249499,97276,38.99,197266734.3,20879
2025-06-13,778.9,780,762.9,765.65,769.54,211612,122148,57.72,162843603.7,17459
2025-06-16,765.65,777.4,753,769.8,767.64,160358,64176,40.02,123096462.9,14403
