date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-03-10,1166,1197.85,1149.5,1156.6,1171.1,241801,87465,36.17,283172135.65,35296
2025-03-11,1156,1169.85,1123.35,1157.4,1153.58,149044,57577,38.63,171934362.5,29206
2025-03-12,1157.4,1163.85,1132.75,1157.95,1148.94,110101,45392,41.23,126499544.05,20797
2025-03-13,1153,1157,1123.5,1148.7,1143.21,129024,57588,44.63,147502148.8,20246
2025-03-17,1151.85,1161.45,1123.3,1135.15,1142.95,276161,178505,64.64,315638577.1,37398
2025-03-18,1139.9,1154,1119.05,1133.75,1133.22,192304,79593,41.39,217922038.8,29477
2025-03-19,1133.75,1175,1102.25,1159.25,1132.37,479237,265753,55.45,542674792.85,51505
2025-03-20,1177.35,1210.4,1162.8,1196.55,1195.16,478127,270347,56.54,571438345.3,53107
2025-03-21,1208.5,1219.9,1172.5,1211.25,1199.63,354048,202432,57.18,424724872.1,39631
2025-03-24,1200.25,1206.5,1166.7,1175.5,1176.25,655156,506675,77.34,770626754.1,34351
2025-03-25,1177.05,1184.9,1134,1151.25,1147.36,242916,98574,40.58,278712018.35,39850
2025-03-26,1149.95,1168.15,1077,1113.1,1109.43,564145,191586,33.96,625879683.4,58329
2025-03-27,1118.55,1129.95,1079.8,1110.2,1101.67,287753,127328,44.25,317008858.25,31230
2025-03-28,1093.45,1159.9,1091,1151,1145.33,316773,125794,39.71,362810001.85,48839
2025-04-01,1137,1145.85,1059.25,1074.05,1100.72,552882,247153,44.7,608567116.8,70279
2025-04-02,1097.7,1111.8,1076.2,1094.65,1094.6,199216,65196,32.73,218061108.1,28746
2025-04-03,1097.9,1155.25,1096.6,1125.2,1131.27,783534,452989,57.81,886391906.15,50435
2025-04-04,1126.8,1135,1076.5,1088,1093.36,188950,81492,43.13,206589431.7,25334
2025-04-07,940,1056.15,940,1053.25,1038.81,197621,90749,45.92,205289822.6,31138
2025-04-08,1101.9,1107,1063.1,1081.7,1080.08,211538,97611,46.14,228477004.15,29434
2025-04-09,1080,1089.15,1045,1058.65,1066.35,227803,138359,60.74,242917142.65,29464
2025-04-11,1091.15,1158.85,1075.25,1149.6,1127.26,654646,313216,47.85,737959357.25,65436
2025-04-15,1155.2,1235.9,1155.2,1184.8,1196.68,645287,243926,37.8,772204317.4,69080
2025-04-16,1180,1205,1163.7,1195.7,1186.72,179591,90715,50.51,213123585.6,22888
2025-04-17,1195.7,1205.5,1165,1168.1,1181.13,124160,53877,43.39,146649376.3,23785
2025-04-21,1168,1235,1157.9,1202.2,1189.53,330135,224242,67.92,392703918.5,28719
2025-04-22,1200.8,1248.5,1194.8,1230,1228.89,245536,119609,48.71,301736849.7,34177
2025-04-23,1250,1250,1197.6,1205,1207.72,248163,160521,64.68,299710576.5,33028
