date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-03-03,5930,6080,5730,5831.65,5872.74,53135,18935,35.64,312048178.55,13329
2025-03-04,5790,6124.9,5779.75,5946.3,5998.59,67506,13593,20.14,404940550.6,17785
2025-03-05,5950,6169.3,5950,6146.15,6075.74,57843,22343,38.63,351438863.6,12958
2025-03-06,6207,6313.6,6050,6082.3,6133.78,41156,16763,40.73,252441656.25,8292
2025-03-07,6050,6273,6042.55,6222.1,6178.69,42301,13722,32.44,261364943.7,11565
2025-03-10,6226,6332.7,6063.25,6075.7,6183.62,37848,16099,42.54,234037580.9,7049
2025-03-11,6075.7,6128.5,5906.7,5943.6,6001.53,36602,18111,49.48,219668148.85,7044
2025-03-12,6013,6190,5953.55,6111.15,6093.48,75400,23637,31.35,459448046.25,14796
2025-03-13,6150,6150,5980,6021,6076.65,45780,18437,40.27,278189074.25,8101
2025-03-17,6024.4,6186.6,6023.55,6115.25,6115.85,29575,13844,46.81,180876220.15,6011
2025-03-18,6125,6190,6104,6114.9,6135.85,23736,11250,47.4,145640506.9,4597
2025-03-19,6101,6395,6101,6380.05,6313.01,74838,28847,38.55,472453307.4,15170
2025-03-20,6380,6451.25,6296,6332.5,6367.64,34282,19598,57.17,218295473.1,6299
2025-03-21,6320,6500,6320,6471.6,6432.58,71519,36907,51.6,460051458.6,10147
2025-03-24,6514.95,6610,6415.15,6451.95,6524.49,38785,17896,46.14,253052374.85,9411
2025-03-25,6544,6547.95,6300,6323.65,6333.51,53808,36310,67.48,340793372.6,7025
2025-03-26,6318,6380,6125,6143.85,6226.49,41848,22579,53.95,260566012.8,7272
2025-03-27,6175,6250.95,6063.9,6172.9,6170,57506,26357,45.83,354812046.9,16085
2025-03-28,6140,6390,6140,6257.4,6277.33,56625,16426,29.01,355453562.45,13981
2025-04-01,6244.4,6320,6144.65,6207.9,6212.41,16536,7560,45.72,102728391.1,4438
2025-04-02,6225,6247.9,6163.1,6221.15,6202.5,16543,9606,58.07,102607979.1,2824
2025-04-03,6125,6274,6125,6167.5,6210.12,16437,5933,36.1,102075800.9,4520
2025-04-04,6180,6212.25,5242.4,5794.35,5898.65,43017,19134,44.48,253742343.5,11477
2025-04-07,5500,6000,5400,5937.45,5808.77,108822,24090,22.14,632122041.05,25441
2025-04-08,6104.4,6124,5800,5922.8,5957.62,32700,11419,34.92,194814136.05,7997
2025-04-09,5930,5987.4,5830,5894.2,5885.99,16874,9296,55.09,99320176.55,4410
2025-04-11,6090,6090,5885,5895.45,5921.91,23177,9550,41.2,137252030.85,7218
2025-04-15,5950,6128.5,5911.5,6109.5,6049.73,25808,11142,43.17,156131505.5,6371
2025-04-16,6159,6282,6100.5,6236,6213.34,26001,12039,46.3,161553172.5,6830
2025-04-17,6203,6330,6198.5,6243.5,6265.73,26614,10282,38.63,166756030,6999
2025-04-21,6243.5,6531,6243.5,6500,6440.76,54368,27476,50.54,350171456.5,13725
2025-04-22,6594,6650,6500,6515,6557.41,47575,19383,40.74,311968912,13008
2025-04-23,6599,6599,6368.5,6557,6506.12,33308,12293,36.91,216705809,9264
2025-04-24,6565,6588,6482.5,6506.5,6515.95,18811,8913,47.38,122571597.5,5119
2025-04-25,6567.5,6567.5,6335,6403.5,6406.8,47512,26238,55.22,304399791.5,10075
2025-04-28,6363,6460.5,6303,6445,6394.14,17562,8703,49.56,112293973.5,5659
2025-04-29,6449.5,6570.5,6428.5,6477.5,6497.52,35655,13928,39.06,231668961.5,11310
2025-04-30,6478,6487.5,6315.5,6336,6370.2,26605,13258,49.83,169479175.5,6077
2025-05-02,6301,6432,6270,6290.5,6347.71,21026,7996,38.03,133466912.5,6569
2025-05-05,6394,6394,6285.5,6357,6352.24,13124,5619,42.81,83366807,4074
2025-05-06,6394,6502.5,6132.5,6191.5,6345.69,33609,10231,30.44,213272227,10671
2025-05-07,6172,6271,6078.5,6188.5,6183.07,25717,10222,39.75,159010127,7345
2025-05-08,6188,6283.5,5990,6027.5,6094.53,55729,36150,64.87,339642039,8829
2025-05-09,5800,6100,5800,6083.5,6000.4,22635,9943,43.93,135819000,6144
2025-05-12,6185,6419,6185,6323,6345.76,27685,14318,51.72,175682444.5,7695
2025-05-13,6300,6495,6300,6457,6414.27,24454,9591,39.22,156854579,5430
