date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-06-26,1193.9,1200.5,1183,1188.8,1189.58,165900,59761,36.02,197351010.5,12980
2025-06-27,1189,1197,1140,1164.2,1176.66,249365,120544,48.34,293418422,16828
2025-06-30,1176,1183,1166.2,1171.6,1171.53,172845,81122,46.93,202493759,11849
2025-07-01,1180.9,1240,1177.7,1214.5,1222.43,1815904,334626,18.43,2219808343.8,82795
2025-07-02,1221,1230.3,1202.8,1217.2,1216.97,398877,92999,23.32,485421763.5,23509
2025-07-03,1220,1226.9,1203.7,1209.1,1214.55,209358,78510,37.5,254275473,12894
2025-07-04,1210,1217.4,1196.6,1199.4,1203.68,158585,65118,41.06,190885823.1,9901
2025-07-07,1199.4,1216,1182.7,1199.4,1197.89,282311,126101,44.67,338178243.4,16569
2025-07-08,1199.4,1224,1195,1214.2,1206.54,235522,100616,42.72,284166058.6,13346
2025-07-09,1220,1222.6,1200,1203.8,1206.7,184818,94691,51.23,223020076.4,11474
2025-07-10,1202.6,1260,1201.5,1244.7,1246.29,1549274,520496,33.6,1930845416.4,61635
2025-07-11,1241,1245.9,1218.4,1227.2,1231.37,237195,93823,39.56,292075826.5,14342
2025-07-14,1220,1238.4,1210.5,1212.3,1218.33,196044,76752,39.15,238845781.7,15661
2025-07-15,1212.9,1243.6,1212.9,1227.4,1229.22,230733,83428,36.16,283621674.3,16589
2025-07-16,1227.4,1266,1222,1246.2,1251.44,790155,297150,37.61,988832259.4,37241
2025-07-17,1248,1298.8,1246,1275.3,1278.83,1471088,543281,36.93,1881268806.4,55488
2025-07-18,1274,1296,1248.2,1283.7,1272.97,612577,192856,31.48,779791800.9,30352
2025-07-21,1279,1285,1260,1266.3,1271.33,322545,149682,46.41,410060745.5,21225
2025-07-22,1267,1294.2,1266.9,1271.5,1275.19,270808,134134,49.53,345332894,15366
2025-07-23,1274.9,1339.8,1270.1,1327.3,1312.76,1750865,725574,41.44,2298463676,64013
2025-07-24,1340,1586.2,1338,1532.4,1467.56,13751142,2030360,14.77,20180568938.5,373430
2025-07-25,1541.8,1549.8,1460,1480.9,1496.94,4186717,571230,13.64,6267259522.5,150731
2025-07-28,1475,1499.9,1432.3,1438.8,1460.34,1006687,316817,31.47,1470108561.6,47422
2025-07-29,1427,1466.9,1408,1430.4,1431.24,594424,133499,22.46,850762746.2,31314
2025-07-30,1434.7,1463.4,1403,1420,1426.22,553746,154588,27.92,789762236.4,27672
2025-07-31,1402.4,1450,1380.5,1409,1425.65,836029,182920,21.88,1191887764.1,43800
2025-08-01,1409.1,1482,1401.2,1443.3,1454.05,1831658,520159,28.4,2663331198.2,75360
2025-08-04,1441.7,1469.8,1413.2,1451.2,1441.93,534944,130398,24.38,771352421.1,27976
2025-08-05,1455,1475,1432.2,1446.7,1451.84,485103,142975,29.47,704291468.4,27513
2025-08-06,1445,1457.6,1401,1409.2,1424.53,315525,119168,37.77,449476266.3,18619
2025-08-07,1400,1466.5,1386,1447.9,1439.86,1177463,211983,18,1695383360.6,60805
2025-08-08,1449,1451,1390,1405.5,1420.56,350120,150768,43.06,497365595.7,19890
2025-08-11,1391,1458,1358,1419.3,1427.18,1243782,317476,25.53,1775105308.6,64900
2025-08-12,1422,1469,1417.1,1432.6,1444.38,502838,129914,25.84,726289568.2,26173
2025-08-13,1439.8,1515.5,1436.3,1477.9,1482.02,1342578,308747,23,1989726006.5,64453
2025-08-14,1479.2,1496.7,1451.5,1468.8,1469.86,364745,115568,31.68,536124619.1,22350
2025-08-18,1480.1,1492.8,1448.6,1456.2,1463.01,359059,123141,34.3,525306576.5,25012
2025-08-19,1458.2,1555,1444,1507.8,1518.43,2542198,534927,21.04,3860159213.9,112389
2025-08-20,1518.7,1554,1497.2,1528.8,1532.04,1032532,267954,25.95,1581876861.1,44914
2025-08-21,1532.2,1550.8,1521,1530.3,1535.71,630368,180526,28.64,968065184.2,30228
2025-08-22,1527,1595.7,1526,1553.5,1571.4,2384844,489955,20.54,3747541638.9,105253
2025-08-25,1565,1690,1558.4,1600.6,1638.16,4485704,835482,18.63,7348313117.1,169404
2025-08-26,1602,1625,1578.9,1592.7,1600.42,1418167,365823,25.8,2269663049.1,63172
2025-08-28,1588.6,1589,1491.2,1501.4,1529.5,1117674,321145,28.73,1709480456.2,56806
2025-08-29,1504,1565,1503,1542.2,1537.19,1240849,218700,17.63,1907424218,54182
2025-09-01,1545,1590.9,1534.4,1583.1,1564.15,754523,280808,37.22,1180190148.2,30733
2025-09-02,1585,1608.9,1565.5,1572.3,1584.49,633211,175945,27.79,1003313488,31040
2025-09-03,1567,1615,1562,1580.7,1592.97,709099,203699,28.73,1129575097.8,34105
2025-09-04,1590,1610,1532,1537.9,1572.34,549054,178695,32.55,863302027.3,25757
2025-09-05,1537.9,1567.4,1520,1524.8,1539.57,501538,113392,22.61,772153227.3,26219
2025-09-08,1529.4,1549.8,1501.1,1507.9,1525.53,347344,98218,28.28,529882524.9,22116
2025-09-09,1513.8,1575,1492.7,1567.9,1543.16,1065984,271052,25.43,1644987632.3,49247
