symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
POLYMED,232,155,66.81,-25.39,-0.11
POONAWALLA,229,150,65.50,1.31,0.01
POWERGRID,219,154,70.32,57.44,0.26
POWERINDIA,233,147,63.09,-37.69,-0.16
PPLPHARMA,227,162,71.37,10.56,0.05
PREMIERENE,223,152,68.16,24.93,0.11
PRESTIGE,223,143,64.13,3.17,0.01
PTCIL,221,149,67.42,14.71,0.07
PVRINOX,218,150,68.81,7.54,0.03
PWL,187,122,65.24,-4.81,-0.03
RADICO,211,146,69.19,-6.12,-0.03
RAILTEL,220,120,54.55,-43.93,-0.20
RAINBOW,227,184,81.06,95.38,0.42
RAMCOCEM,221,164,74.21,34.93,0.16
RBLBANK,228,158,69.30,16.83,0.07
RECLTD,227,141,62.11,2.53,0.01
REDINGTON,237,93,39.24,-58.97,-0.25
RELIANCE,223,147,65.92,14.72,0.07
RHIM,221,145,65.61,-74.79,-0.34
RITES,223,129,57.85,-16.15,-0.07
RKFORGE,222,157,70.72,12.39,0.06
RPOWER,234,139,59.40,-34.64,-0.15
RRKABEL,237,152,64.14,11.13,0.05
RVNL,227,123,54.19,-35.33,-0.16
SAGILITY,219,145,66.21,16.50,0.08
SAIL,223,143,64.13,1.98,0.01
SAILIFE,222,159,71.62,40.11,0.18
SAMMAANCAP,230,137,59.57,-64.26,-0.28
SAPPHIRE,229,159,69.43,4.69,0.02
SARDAEN,227,152,66.96,8.46,0.04
SAREGAMA,230,167,72.61,16.48,0.07
SBFC,222,154,69.37,28.83,0.13
SBICARD,227,136,59.91,-15.75,-0.07
SBILIFE,209,147,70.33,28.31,0.14
SBIN,217,128,58.99,-0.13,-0.00
SCHAEFFLER,214,144,67.29,-7.67,-0.04
SCHNEIDER,181,123,67.96,-1.39,-0.01
SCI,228,134,58.77,-34.58,-0.15
SHREECEM,213,141,66.20,10.12,0.05
SHRIRAMFIN,228,137,60.09,-19.69,-0.09
SHYAMMETL,224,160,71.43,50.97,0.23
SIEMENS,232,162,69.83,18.42,0.08
SIGNATURE,220,145,65.91,9.87,0.04
SJVN,222,129,58.11,-37.54,-0.17
SOBHA,226,160,70.80,49.40,0.22
SOLARINDS,222,151,68.02,-0.00,-0.00
SONACOMS,225,148,65.78,44.99,0.20
SONATSOFTW,224,148,66.07,-24.13,-0.11
SPLPETRO,230,166,72.17,55.43,0.24
SRF,223,142,63.68,5.33,0.02
STARHEALTH,221,161,72.85,55.03,0.25
SUMICHEM,227,160,70.48,17.99,0.08
SUNDARMFIN,221,167,75.57,28.24,0.13
SUNPHARMA,222,170,76.58,45.18,0.20
SUNTV,219,162,73.97,0.48,0.00
SUPREMEIND,221,150,67.87,8.04,0.04
SUZLON,220,128,58.18,-8.60,-0.04
SWANCORP,227,156,68.72,19.00,0.08
SWIGGY,232,148,63.79,-19.61,-0.08
SYNGENE,216,149,68.98,25.04,0.12
SYRMA,230,141,61.30,-23.71,-0.10
TARIL,222,140,63.06,-67.45,-0.30
TATACAP,204,132,64.71,5.58,0.03
TATACHEM,219,124,56.62,-29.52,-0.13
TATACOMM,228,165,72.37,-1.53,-0.01
TATACONSUM,215,161,74.88,45.57,0.21
TATAELXSI,218,135,61.93,-12.99,-0.06
TATAINVEST,226,114,50.44,-33.23,-0.15
TATAPOWER,216,141,65.28,25.30,0.12
TATASTEEL,213,122,57.28,8.51,0.04
TATATECH,236,144,61.02,-43.45,-0.18
TBOTEK,226,159,70.35,25.25,0.11
TCS,214,118,55.14,-15.79,-0.07
TECHM,246,58,23.58,10.26,0.04
TECHNOE,228,149,65.35,-7.14,-0.03
TEGA,227,155,68.28,20.20,0.09
TEJASNET,220,118,53.64,-114.50,-0.52
TENNIND,193,130,67.36,36.58,0.19
THELEELA,230,179,77.83,112.54,0.49
THERMAX,221,156,70.59,29.35,0.13
TIINDIA,233,157,67.38,19.00,0.08
TIMKEN,218,163,74.77,45.11,0.21
TITAGARH,223,134,60.09,-34.42,-0.15
TITAN,218,142,65.14,24.85,0.11
TMCV,180,110,61.11,-17.69,-0.10
TMPV,226,121,53.54,-50.05,-0.22
TORNTPHARM,210,165,78.57,48.85,0.23
TORNTPOWER,226,161,71.24,3.45,0.02
TRAVELFOOD,225,167,74.22,66.80,0.30
TRENT,236,45,19.07,-26.29,-0.11
TRIDENT,232,73,31.47,-7.08,-0.03
TRITURBINE,227,167,73.57,33.94,0.15
TTML,224,134,59.82,-24.43,-0.11
TVSMOTOR,220,147,66.82,9.72,0.04
UBL,206,144,69.90,26.63,0.13
UCOBANK,226,137,60.62,-13.08,-0.06
ULTRACEMCO,242,44,18.18,-10.52,-0.04
UNIONBANK,237,59,24.89,-8.41,-0.04
UNITDSPR,217,149,68.66,30.50,0.14
UNOMINDA,220,148,67.27,4.10,0.02
UPL,218,142,65.14,12.40,0.06
URBANCO,230,156,67.83,11.15,0.05
USHAMART,219,145,66.21,1.69,0.01
UTIAMC,239,35,14.64,-33.90,-0.14
VBL,220,138,62.73,19.08,0.09
VEDL,233,50,21.46,8.30,0.04
VIJAYA,223,161,72.20,41.50,0.19
VMM,220,157,71.36,32.92,0.15
VOLTAS,222,152,68.47,3.54,0.02
VTL,221,171,77.38,71.93,0.33
WAAREEENER,224,141,62.95,-5.95,-0.03
WELCORP,221,147,66.52,1.90,0.01
WELSPUNLIV,225,134,59.56,-10.97,-0.05
WHIRLPOOL,221,147,66.52,-31.35,-0.14
WIPRO,233,79,33.91,4.56,0.02
WOCKPHARMA,230,149,64.78,-51.73,-0.22
YESBANK,218,140,64.22,-2.00,-0.01
ZEEL,244,71,29.10,-67.57,-0.28
ZENSARTECH,236,66,27.97,-86.35,-0.37
ZENTEC,222,145,65.32,50.61,0.23
ZFCVINDIA,241,45,18.67,-4.22,-0.02
ZYDUSLIFE,218,155,71.10,36.16,0.17
ZYDUSWELL,225,160,71.11,22.74,0.10
