symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
MFSL,59,41,69.49,0.01,0.00
MGL,59,43,72.88,1.95,0.03
MINDACORP,62,50,80.65,13.46,0.22
MMTC,59,37,62.71,-4.33,-0.07
MOTHERSON,57,44,77.19,8.67,0.15
MOTILALOFS,56,45,80.36,6.08,0.11
MPHASIS,59,28,47.46,-2.52,-0.04
MRF,52,27,51.92,-18.57,-0.36
MRPL,59,42,71.19,-2.74,-0.05
MSUMI,52,38,73.08,4.09,0.08
MUTHOOTFIN,59,29,49.15,-7.19,-0.12
NAM-INDIA,56,39,69.64,7.05,0.13
NATCOPHARM,55,44,80.00,12.41,0.23
NATIONALUM,60,32,53.33,-14.41,-0.24
NAUKRI,61,36,59.02,-14.81,-0.24
NAVA,57,40,70.18,7.37,0.13
NAVINFLUOR,58,39,67.24,-2.48,-0.04
NBCC,56,33,58.93,-4.25,-0.08
NCC,55,36,65.45,0.33,0.01
NESTLEIND,55,45,81.82,15.93,0.29
NETWEB,60,38,63.33,-12.15,-0.20
NEULANDLAB,58,38,65.52,-1.05,-0.02
NEWGEN,58,38,65.52,5.51,0.09
NH,56,45,80.36,7.44,0.13
NHPC,55,36,65.45,5.63,0.10
NIACL,61,41,67.21,-13.86,-0.23
NIVABUPA,53,42,79.25,32.00,0.60
NLCINDIA,58,46,79.31,17.44,0.30
NMDC,55,36,65.45,11.03,0.20
NSLNISP,56,31,55.36,-17.29,-0.31
NTPC,57,44,77.19,5.76,0.10
NTPCGREEN,48,34,70.83,0.59,0.01
NUVAMA,54,35,64.81,6.20,0.11
NUVOCO,58,45,77.59,9.88,0.17
NYKAA,59,45,76.27,10.09,0.17
OBEROIRLTY,60,36,60.00,8.40,0.14
OFSS,59,39,66.10,-2.61,-0.04
OIL,58,43,74.14,10.61,0.18
OLAELEC,58,37,63.79,-7.84,-0.14
OLECTRA,58,37,63.79,-9.90,-0.17
ONESOURCE,58,47,81.03,18.21,0.31
ONGC,59,42,71.19,11.36,0.19
PAGEIND,56,44,78.57,0.75,0.01
PARADEEP,57,39,68.42,-1.47,-0.03
PATANJALI,53,42,79.25,18.05,0.34
PAYTM,60,40,66.67,-11.81,-0.20
PCBL,59,35,59.32,-20.53,-0.35
PERSISTENT,61,33,54.10,-1.15,-0.02
PETRONET,58,42,72.41,8.04,0.14
PFC,57,42,73.68,6.05,0.11
PFIZER,54,36,66.67,-3.95,-0.07
PFOCUS,38,31,81.58,26.85,0.71
PGEL,60,41,68.33,3.05,0.05
PHOENIXLTD,55,40,72.73,9.53,0.17
PIDILITIND,56,39,69.64,8.20,0.15
PIIND,51,31,60.78,-14.33,-0.28
PINELABS,59,38,64.41,-2.76,-0.05
PIRAMALFIN,58,49,84.48,23.56,0.41
PNB,60,42,70.00,5.83,0.10
PNBHOUSING,59,35,59.32,-4.08,-0.07
POLICYBZR,60,45,75.00,16.58,0.28
POLYCAB,55,35,63.64,-1.32,-0.02
POLYMED,58,41,70.69,15.76,0.27
POONAWALLA,62,42,67.74,8.73,0.14
POWERGRID,59,44,74.58,10.61,0.18
POWERINDIA,60,43,71.67,-5.06,-0.08
PPLPHARMA,54,49,90.74,28.77,0.53
PREMIERENE,56,45,80.36,14.39,0.26
PRESTIGE,59,38,64.41,-1.72,-0.03
PTCIL,56,38,67.86,5.20,0.09
PVRINOX,55,44,80.00,7.43,0.14
PWL,60,38,63.33,-12.73,-0.21
RADICO,52,38,73.08,4.62,0.09
RAILTEL,59,34,57.63,-12.19,-0.21
RAINBOW,59,51,86.44,27.29,0.46
RAMCOCEM,59,47,79.66,8.64,0.15
RBLBANK,57,42,73.68,-2.59,-0.05
RECLTD,55,41,74.55,19.75,0.36
REDINGTON,56,38,67.86,5.72,0.10
RELIANCE,55,32,58.18,-4.40,-0.08
RHIM,59,42,71.19,5.54,0.09
RITES,55,35,63.64,0.79,0.01
RKFORGE,52,35,67.31,8.35,0.16
RPOWER,58,37,63.79,-19.16,-0.33
RRKABEL,60,44,73.33,15.30,0.26
RVNL,56,28,50.00,-9.47,-0.17
SAGILITY,53,41,77.36,6.54,0.12
SAIL,58,37,63.79,3.38,0.06
SAILIFE,58,47,81.03,13.66,0.24
SAMMAANCAP,56,35,62.50,-4.96,-0.09
SAPPHIRE,59,47,79.66,10.71,0.18
SARDAEN,60,46,76.67,15.65,0.26
SAREGAMA,61,51,83.61,20.47,0.34
SBFC,57,43,75.44,12.99,0.23
SBICARD,60,40,66.67,-4.64,-0.08
SBILIFE,53,43,81.13,16.40,0.31
SBIN,56,34,60.71,-2.22,-0.04
SCHAEFFLER,54,40,74.07,10.92,0.20
SCHNEIDER,62,45,72.58,0.62,0.01
SCI,53,35,66.04,-0.95,-0.02
SHREECEM,56,29,51.79,-13.44,-0.24
SHRIRAMFIN,62,42,67.74,8.33,0.13
SHYAMMETL,53,41,77.36,16.78,0.32
SIEMENS,62,41,66.13,7.81,0.13
SIGNATURE,57,38,66.67,8.32,0.15
SJVN,54,33,61.11,2.88,0.05
SOBHA,56,42,75.00,28.49,0.51
SOLARINDS,58,41,70.69,-0.42,-0.01
SONACOMS,59,44,74.58,26.62,0.45
SONATSOFTW,57,42,73.68,5.31,0.09
SPLPETRO,60,42,70.00,8.60,0.14
SRF,55,40,72.73,2.15,0.04
STARHEALTH,57,44,77.19,16.28,0.29
SUMICHEM,62,46,74.19,-9.29,-0.15
SUNDARMFIN,56,41,73.21,-9.38,-0.17
SUNPHARMA,57,44,77.19,14.76,0.26
SUNTV,56,41,73.21,6.29,0.11
SUPREMEIND,61,42,68.85,-2.25,-0.04
SUZLON,52,34,65.38,-2.58,-0.05
SWANCORP,57,44,77.19,14.05,0.25
SWIGGY,59,35,59.32,-15.35,-0.26
SYNGENE,56,43,76.79,19.18,0.34
SYRMA,60,40,66.67,3.59,0.06
TARIL,51,36,70.59,7.63,0.15
TATACAP,61,35,57.38,-7.07,-0.12
TATACHEM,59,30,50.85,-11.24,-0.19
TATACOMM,58,49,84.48,19.33,0.33
TATACONSUM,51,36,70.59,8.79,0.17
TATAELXSI,54,35,64.81,4.10,0.08
TATAINVEST,56,31,55.36,-16.27,-0.29
TATAPOWER,51,35,68.63,7.58,0.15
TATASTEEL,58,37,63.79,9.58,0.17
TATATECH,62,35,56.45,-19.83,-0.32
TBOTEK,58,45,77.59,-0.69,-0.01
