symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
AUBANK,9,5,55.56,-3.40,-0.38
AUROPHARMA,5,4,80.00,2.00,0.40
AWL,12,8,66.67,1.40,0.12
AXISBANK,4,4,100.00,1.27,0.32
BAJAJ-AUTO,3,2,66.67,-0.67,-0.22
BAJAJFINSV,6,3,50.00,-0.58,-0.10
BAJAJHFL,4,3,75.00,-2.16,-0.54
BAJAJHLDNG,8,7,87.50,3.40,0.42
BAJFINANCE,8,6,75.00,-1.46,-0.18
BALKRISIND,10,7,70.00,-1.85,-0.18
BALRAMCHIN,16,11,68.75,4.40,0.28
BANDHANBNK,12,8,66.67,-1.52,-0.13
BANKBARODA,4,3,75.00,0.89,0.22
BANKINDIA,7,5,71.43,-0.45,-0.06
BATAINDIA,11,4,36.36,-5.15,-0.47
BAYERCROP,2,1,50.00,0.98,0.49
BBTC,9,5,55.56,-1.11,-0.12
BDL,16,9,56.25,-7.18,-0.45
BEL,3,1,33.33,0.68,0.23
BELRISE,8,5,62.50,-1.19,-0.15
BEML,14,11,78.57,4.83,0.35
BERGEPAINT,8,3,37.50,-0.68,-0.08
BHARATFORG,10,6,60.00,-0.98,-0.10
BHARTIARTL,1,0,0.00,-0.10,-0.10
BHARTIHEXA,6,4,66.67,3.99,0.67
BHEL,12,6,50.00,-2.02,-0.17
BIKAJI,6,4,66.67,1.61,0.27
BIOCON,5,2,40.00,-1.42,-0.28
BLS,12,8,66.67,-0.13,-0.01
BLUEDART,3,3,100.00,-1.80,-0.60
BLUEJET,7,6,85.71,1.36,0.19
BLUESTARCO,8,7,87.50,1.75,0.22
BOSCHLTD,8,5,62.50,1.90,0.24
BPCL,9,5,55.56,-1.91,-0.21
BRIGADE,14,9,64.29,2.02,0.14
BRITANNIA,5,5,100.00,1.91,0.38
BSE,8,2,25.00,-3.05,-0.38
BSOFT,11,7,63.64,-2.86,-0.26
CAMS,10,6,60.00,-3.80,-0.38
CANBK,4,3,75.00,0.50,0.13
CANFINHOME,11,6,54.55,-4.87,-0.44
CANHLIFE,8,8,100.00,-2.06,-0.26
CAPLIPOINT,15,13,86.67,1.78,0.12
CARBORUNIV,14,10,71.43,0.41,0.03
CARTRADE,11,8,72.73,-6.93,-0.63
CASTROLIND,1,1,100.00,-0.70,-0.70
CCL,8,8,100.00,-0.34,-0.04
CDSL,11,7,63.64,-2.45,-0.22
CEATLTD,9,7,77.78,2.94,0.33
CEMPRO,14,11,78.57,2.67,0.19
CENTRALBK,3,3,100.00,1.72,0.57
CESC,12,3,25.00,-6.73,-0.56
CGCL,14,10,71.43,-0.71,-0.05
CGPOWER,7,4,57.14,0.83,0.12
CHALET,7,5,71.43,-0.60,-0.09
CHAMBLFERT,3,2,66.67,0.60,0.20
CHENNPETRO,14,7,50.00,4.73,0.34
CHOICEIN,6,2,33.33,-3.26,-0.54
CHOLAFIN,9,5,55.56,0.87,0.10
CHOLAHLDNG,9,7,77.78,0.95,0.11
CIEINDIA,7,6,85.71,-0.88,-0.13
CIPLA,3,3,100.00,-0.50,-0.17
CLEAN,10,5,50.00,-4.09,-0.41
COALINDIA,4,1,25.00,-3.59,-0.90
COCHINSHIP,9,3,33.33,-16.23,-1.80
COFORGE,8,4,50.00,0.52,0.07
COHANCE,10,5,50.00,-2.76,-0.28
COLPAL,3,2,66.67,-1.86,-0.62
CONCOR,6,3,50.00,-0.87,-0.15
CONCORDBIO,9,5,55.56,-0.31,-0.03
COROMANDEL,8,4,50.00,-4.07,-0.51
CPPLUS,13,10,76.92,-1.97,-0.15
CRAFTSMAN,11,6,54.55,-0.12,-0.01
CREDITACC,6,3,50.00,-8.42,-1.40
CRISIL,8,7,87.50,-0.86,-0.11
CROMPTON,6,4,66.67,-1.05,-0.18
CUB,17,13,76.47,12.73,0.75
CUMMINSIND,7,3,42.86,0.73,0.10
CYIENT,12,9,75.00,0.64,0.05
DABUR,3,2,66.67,-0.58,-0.19
DALBHARAT,9,6,66.67,-4.39,-0.49
DATAPATTNS,15,10,66.67,-2.34,-0.16
DCMSHRIRAM,8,5,62.50,-1.18,-0.15
DEEPAKFERT,7,5,71.43,4.61,0.66
DEEPAKNTR,8,4,50.00,-4.12,-0.52
DELHIVERY,7,5,71.43,-0.27,-0.04
DEVYANI,14,11,78.57,-5.72,-0.41
DIVISLAB,7,3,42.86,2.69,0.38
DIXON,14,6,42.86,-3.74,-0.27
DLF,9,4,44.44,0.26,0.03
DMART,4,2,50.00,-1.27,-0.32
DOMS,4,3,75.00,-1.10,-0.27
DRREDDY,4,3,75.00,-1.11,-0.28
ECLERX,15,10,66.67,3.31,0.22
EICHERMOT,3,3,100.00,-0.90,-0.30
EIDPARRY,12,7,58.33,-0.02,-0.00
EIHOTEL,9,7,77.78,-5.32,-0.59
ELECON,10,4,40.00,-3.75,-0.38
ELGIEQUIP,12,8,66.67,-4.53,-0.38
EMAMILTD,11,6,54.55,-8.71,-0.79
EMCURE,3,1,33.33,0.70,0.23
EMMVEE,10,7,70.00,-2.43,-0.24
ENDURANCE,9,7,77.78,-0.48,-0.05
ENGINERSIN,11,8,72.73,18.87,1.72
ENRIN,11,5,45.45,-4.92,-0.45
ERIS,8,6,75.00,-5.23,-0.65
ESCORTS,3,2,66.67,2.33,0.78
ETERNAL,3,2,66.67,2.42,0.81
EXIDEIND,10,7,70.00,1.34,0.13
FACT,11,4,36.36,11.04,1.00
FEDERALBNK,6,4,66.67,0.09,0.01
FINCABLES,11,8,72.73,-2.41,-0.22
FIRSTCRY,14,10,71.43,-2.57,-0.18
FIVESTAR,11,9,81.82,-3.11,-0.28
FLUOROCHEM,9,6,66.67,3.39,0.38
FORCEMOT,8,7,87.50,4.26,0.53
FORTIS,6,2,33.33,-1.32,-0.22
FSL,12,8,66.67,-2.49,-0.21
GABRIEL,12,8,66.67,-6.54,-0.55
GAIL,2,1,50.00,0.94,0.47
GALLANTT,11,8,72.73,2.57,0.23
GESHIP,7,3,42.86,-1.50,-0.21
GICRE,18,4,22.22,2.82,0.16
GILLETTE,5,4,80.00,-0.87,-0.17
GLAND,11,8,72.73,1.75,0.16
GLAXO,9,5,55.56,4.01,0.45
GLENMARK,8,7,87.50,-2.03,-0.25
GMDCLTD,9,5,55.56,-2.05,-0.23
GMRAIRPORT,7,3,42.86,1.44,0.21
GODFRYPHLP,8,5,62.50,3.12,0.39
GODIGIT,7,7,100.00,-1.41,-0.20
GODREJCP,4,2,50.00,0.50,0.12
GODREJIND,8,6,75.00,-2.84,-0.35
GODREJPROP,9,5,55.56,-1.84,-0.20
GPIL,12,8,66.67,5.08,0.42
GRANULES,9,7,77.78,-3.08,-0.34
GRAPHITE,14,10,71.43,6.65,0.48
GRASIM,7,5,71.43,-2.27,-0.32
GRAVITA,12,10,83.33,2.47,0.21
GROWW,8,5,62.50,-5.64,-0.70
GRSE,7,5,71.43,-0.23,-0.03
HAL,9,3,33.33,0.10,0.01
HAVELLS,2,2,100.00,1.16,0.58
HBLENGINE,10,4,40.00,5.87,0.59
HCLTECH,5,4,80.00,1.51,0.30
HDBFS,6,3,50.00,-0.66,-0.11
HDFCAMC,5,3,60.00,-1.57,-0.31
HDFCBANK,5,3,60.00,0.84,0.17
HDFCLIFE,7,3,42.86,-3.29,-0.47
HEROMOTOCO,4,3,75.00,-3.93,-0.98
HEXT,11,9,81.82,0.02,0.00
HINDALCO,5,5,100.00,-0.10,-0.02
HINDCOPPER,12,8,66.67,-6.22,-0.52
HINDPETRO,6,4,66.67,-1.92,-0.32
HINDUNILVR,1,1,100.00,-1.34,-1.34
HINDZINC,10,4,40.00,-7.29,-0.73
HOMEFIRST,4,3,75.00,-0.04,-0.01
HONASA,9,7,77.78,0.66,0.07
HONAUT,9,7,77.78,2.64,0.29
HSCL,11,7,63.64,-2.26,-0.21
HUDCO,8,6,75.00,7.94,0.99
HYUNDAI,11,7,63.64,4.34,0.39
ICICIAMC,9,8,88.89,-6.64,-0.74
ICICIBANK,2,1,50.00,-1.24,-0.62
ICICIGI,4,4,100.00,0.03,0.01
ICICIPRULI,15,8,53.33,-8.25,-0.55
IDBI,10,7,70.00,0.54,0.05
IDEA,11,7,63.64,5.30,0.48
IDFCFIRSTB,3,2,66.67,-0.81,-0.27
IEX,6,4,66.67,-2.54,-0.42
IFCI,18,12,66.67,-11.81,-0.66
IGIL,10,8,80.00,0.76,0.08
IGL,8,5,62.50,-3.10,-0.39
IIFL,14,8,57.14,1.04,0.07
IKS,2,1,50.00,-1.83,-0.92
INDGN,6,6,100.00,-2.58,-0.43
INDHOTEL,6,4,66.67,0.00,0.00
INDIACEM,7,3,42.86,-4.28,-0.61
INDIAMART,3,3,100.00,-3.13,-1.04
INDIANB,11,8,72.73,3.49,0.32
INDIGO,5,2,40.00,-3.50,-0.70
INDUSINDBK,3,0,0.00,-1.53,-0.51
INDUSTOWER,7,5,71.43,-1.21,-0.17
INFY,5,4,80.00,0.56,0.11
INOXWIND,11,6,54.55,0.87,0.08
INTELLECT,10,6,60.00,-3.33,-0.33
IOB,5,4,80.00,0.55,0.11
IOC,5,3,60.00,0.01,0.00
IPCALAB,5,4,80.00,0.41,0.08
IRB,7,5,71.43,-3.10,-0.44
IRCON,13,8,61.54,1.80,0.14
IRCTC,3,1,33.33,-2.48,-0.83
IREDA,4,3,75.00,-3.30,-0.82
IRFC,9,5,55.56,-0.70,-0.08
ITC,5,4,80.00,0.42,0.08
ITCHOTELS,9,6,66.67,3.64,0.40
ITI,13,6,46.15,-3.93,-0.30
JAINREC,17,11,64.71,-1.00,-0.06
JBMA,7,3,42.86,-3.15,-0.45
JINDALSAW,13,9,69.23,0.16,0.01
JINDALSTEL,10,9,90.00,3.99,0.40
JIOFIN,8,6,75.00,-0.30,-0.04
JKCEMENT,9,6,66.67,2.91,0.32
JKTYRE,3,3,100.00,0.23,0.08
JMFINANCIL,14,11,78.57,0.70,0.05
JPPOWER,8,6,75.00,0.90,0.11
JSL,11,8,72.73,-4.12,-0.37
JSWCEMENT,4,2,50.00,-2.26,-0.57
JSWDULUX,4,3,75.00,-2.08,-0.52
JSWENERGY,7,1,14.29,-0.91,-0.13
JSWINFRA,9,6,66.67,-0.38,-0.04
JSWSTEEL,8,6,75.00,0.33,0.04
JUBLFOOD,7,4,57.14,-5.04,-0.72
JUBLINGREA,11,9,81.82,0.60,0.05
JUBLPHARMA,15,11,73.33,6.58,0.44
JWL,11,7,63.64,0.30,0.03
JYOTICNC,14,9,64.29,10.72,0.77
KAJARIACER,7,4,57.14,-2.98,-0.43
KALYANKJIL,10,7,70.00,1.06,0.11
KARURVYSYA,7,5,71.43,2.78,0.40
KAYNES,17,9,52.94,-4.09,-0.24
KEC,10,7,70.00,-0.92,-0.09
KEI,10,5,50.00,-17.24,-1.72
KFINTECH,11,8,72.73,-3.87,-0.35
KIMS,7,6,85.71,0.84,0.12
KIRLOSENG,12,9,75.00,-4.66,-0.39
KOTAKBANK,5,2,40.00,-0.64,-0.13
KPIL,10,7,70.00,2.91,0.29
KPITTECH,10,5,50.00,-2.04,-0.20
KPRMILL,5,2,40.00,5.02,1.00
LALPATHLAB,6,5,83.33,-1.17,-0.19
LATENTVIEW,9,4,44.44,-3.83,-0.43
LAURUSLABS,9,5,55.56,1.67,0.19
LEMONTREE,6,6,100.00,1.84,0.31
LENSKART,8,7,87.50,-3.57,-0.45
LGEINDIA,13,7,53.85,2.68,0.21
LICHSGFIN,8,4,50.00,6.27,0.78
LICI,7,4,57.14,2.85,0.41
LINDEINDIA,11,8,72.73,1.56,0.14
LLOYDSME,8,6,75.00,2.60,0.33
LODHA,12,8,66.67,-3.12,-0.26
LT,5,3,60.00,-1.06,-0.21
LTF,9,7,77.78,-0.84,-0.09
LTFOODS,9,5,55.56,-4.33,-0.48
LTM,9,6,66.67,-2.07,-0.23
LTTS,8,5,62.50,0.74,0.09
LUPIN,5,3,60.00,-1.59,-0.32
MAHABANK,10,5,50.00,7.14,0.71
MANAPPURAM,5,2,40.00,-4.39,-0.88
MANKIND,7,2,28.57,-0.25,-0.04
MAPMYINDIA,11,6,54.55,-0.92,-0.08
MARICO,5,5,100.00,0.18,0.04
MARUTI,3,2,66.67,-1.14,-0.38
MAXHEALTH,9,6,66.67,0.88,0.10
MAZDOCK,10,5,50.00,-4.54,-0.45
MCX,11,7,63.64,6.70,0.61
MEDANTA,10,6,60.00,9.09,0.91
MEESHO,10,8,80.00,-2.42,-0.24
MFSL,8,4,50.00,-3.29,-0.41
MGL,10,10,100.00,7.70,0.77
MINDACORP,8,7,87.50,-1.21,-0.15
MMTC,10,5,50.00,6.76,0.68
MOTHERSON,5,2,40.00,-0.02,-0.00
MOTILALOFS,7,4,57.14,-5.91,-0.84
MPHASIS,5,2,40.00,-3.52,-0.70
MRF,2,2,100.00,-1.92,-0.96
MRPL,13,8,61.54,3.86,0.30
MSUMI,6,5,83.33,0.39,0.07
MUTHOOTFIN,6,3,50.00,1.53,0.26
NAM-INDIA,14,8,57.14,-9.46,-0.68
NATCOPHARM,8,6,75.00,0.74,0.09
NATIONALUM,12,9,75.00,1.95,0.16
NAUKRI,9,7,77.78,-0.41,-0.05
NAVA,9,5,55.56,3.45,0.38
NAVINFLUOR,11,5,45.45,5.03,0.46
NBCC,8,5,62.50,1.68,0.21
NCC,11,5,45.45,-8.85,-0.80
NESTLEIND,7,6,85.71,0.95,0.14
NETWEB,13,8,61.54,-4.34,-0.33
NEULANDLAB,11,7,63.64,3.01,0.27
NEWGEN,9,4,44.44,-2.38,-0.26
NH,6,4,66.67,2.97,0.49
NHPC,6,4,66.67,3.16,0.53
NIACL,14,9,64.29,3.39,0.24
NIVABUPA,7,4,57.14,-1.97,-0.28
NLCINDIA,8,5,62.50,-0.52,-0.06
NMDC,8,4,50.00,-3.11,-0.39
NSLNISP,14,8,57.14,13.94,1.00
NTPC,4,1,25.00,-2.58,-0.65
NTPCGREEN,4,2,50.00,0.99,0.25
NUVAMA,10,8,80.00,-4.66,-0.47
NUVOCO,6,2,33.33,10.19,1.70
NYKAA,4,2,50.00,-2.98,-0.74
OBEROIRLTY,12,7,58.33,-0.38,-0.03
OFSS,10,6,60.00,4.41,0.44
OIL,11,8,72.73,1.06,0.10
OLAELEC,11,7,63.64,3.54,0.32
OLECTRA,11,6,54.55,-0.37,-0.03
ONESOURCE,12,9,75.00,10.44,0.87
ONGC,4,1,25.00,-0.55,-0.14
PAGEIND,6,4,66.67,-0.83,-0.14
PARADEEP,13,7,53.85,2.90,0.22
PATANJALI,6,5,83.33,-0.39,-0.07
PAYTM,10,7,70.00,-0.66,-0.07
PCBL,12,5,41.67,0.10,0.01
PERSISTENT,7,4,57.14,-1.12,-0.16
PETRONET,8,8,100.00,6.43,0.80
PFC,6,5,83.33,0.62,0.10
PFIZER,6,1,16.67,-6.10,-1.02
PFOCUS,11,8,72.73,-0.07,-0.01
PGEL,10,5,50.00,-1.11,-0.11
PHOENIXLTD,7,5,71.43,2.90,0.41
PIDILITIND,5,4,80.00,1.76,0.35
PIIND,4,1,25.00,-2.13,-0.53
PINELABS,15,12,80.00,-0.04,-0.00
PIRAMALFIN,10,7,70.00,-0.13,-0.01
PNB,7,7,100.00,1.51,0.22
PNBHOUSING,11,7,63.64,2.73,0.25
POLICYBZR,10,9,90.00,5.26,0.53
POLYCAB,3,2,66.67,-0.86,-0.29
POLYMED,14,11,78.57,0.51,0.04
POONAWALLA,8,4,50.00,1.31,0.16
POWERGRID,3,0,0.00,-0.02,-0.01
POWERINDIA,8,4,50.00,-2.64,-0.33
PPLPHARMA,8,5,62.50,-3.94,-0.49
PREMIERENE,8,5,62.50,-4.86,-0.61
PRESTIGE,8,4,50.00,-0.86,-0.11
PTCIL,16,11,68.75,-5.43,-0.34
PVRINOX,11,9,81.82,3.07,0.28
PWL,15,8,53.33,6.79,0.45
RADICO,6,6,100.00,1.91,0.32
RAILTEL,6,1,16.67,-1.40,-0.23
RAINBOW,8,6,75.00,-2.29,-0.29
RAMCOCEM,9,7,77.78,0.02,0.00
RBLBANK,8,6,75.00,5.56,0.69
RECLTD,7,4,57.14,-0.23,-0.03
REDINGTON,12,8,66.67,0.24,0.02
RELIANCE,4,2,50.00,1.00,0.25
RHIM,9,5,55.56,1.39,0.15
RITES,7,5,71.43,-0.31,-0.04
RKFORGE,12,9,75.00,3.13,0.26
RPOWER,8,5,62.50,-5.36,-0.67
RRKABEL,13,8,61.54,-17.87,-1.37
RVNL,12,5,41.67,-4.14,-0.35
SAGILITY,7,5,71.43,6.19,0.88
SAIL,12,9,75.00,-2.78,-0.23
SAILIFE,13,9,69.23,4.75,0.37
SAMMAANCAP,8,5,62.50,6.29,0.79
SAPPHIRE,11,10,90.91,-2.95,-0.27
SARDAEN,10,5,50.00,-7.49,-0.75
SAREGAMA,11,10,90.91,6.16,0.56
SBFC,9,5,55.56,8.78,0.98
SBICARD,11,7,63.64,5.08,0.46
SBILIFE,8,4,50.00,-4.85,-0.61
SBIN,4,3,75.00,0.90,0.22
SCHAEFFLER,4,3,75.00,-3.38,-0.85
SCHNEIDER,16,11,68.75,-9.30,-0.58
SCI,9,7,77.78,3.28,0.36
SHREECEM,7,3,42.86,-4.35,-0.62
SHRIRAMFIN,6,3,50.00,-0.93,-0.15
SHYAMMETL,8,5,62.50,0.78,0.10
SIEMENS,7,4,57.14,-0.82,-0.12
SIGNATURE,10,8,80.00,2.67,0.27
SJVN,7,3,42.86,-0.48,-0.07
SOBHA,11,10,90.91,-4.55,-0.41
SOLARINDS,5,2,40.00,2.08,0.42
SONACOMS,8,5,62.50,-8.02,-1.00
SONATSOFTW,14,11,78.57,7.09,0.51
SPLPETRO,11,8,72.73,1.80,0.16
SRF,5,4,80.00,0.99,0.20
STARHEALTH,8,6,75.00,-4.03,-0.50
SUMICHEM,11,8,72.73,-0.95,-0.09
SUNDARMFIN,6,3,50.00,4.20,0.70
SUNPHARMA,2,1,50.00,1.37,0.68
SUNTV,6,2,33.33,-4.41,-0.73
SUPREMEIND,5,4,80.00,-1.95,-0.39
SUZLON,9,4,44.44,-8.42,-0.94
SWANCORP,9,5,55.56,-4.09,-0.45
SWIGGY,8,3,37.50,-5.37,-0.67
SYNGENE,8,6,75.00,0.13,0.02
SYRMA,11,7,63.64,-4.87,-0.44
TARIL,9,7,77.78,2.31,0.26
TATACAP,2,0,0.00,-2.33,-1.17
TATACHEM,12,3,25.00,16.95,1.41
TATACOMM,5,4,80.00,5.35,1.07
TATACONSUM,6,3,50.00,-2.48,-0.41
TATAELXSI,8,4,50.00,-2.53,-0.32
TATAINVEST,11,6,54.55,1.08,0.10
TATAPOWER,7,2,28.57,-3.74,-0.53
TATASTEEL,5,4,80.00,-2.36,-0.47
TATATECH,11,5,45.45,2.54,0.23
TBOTEK,9,9,100.00,0.41,0.05
TCS,4,3,75.00,-2.17,-0.54
TECHM,5,3,60.00,-3.55,-0.71
TECHNOE,10,6,60.00,3.15,0.32
TEGA,12,8,66.67,-1.62,-0.14
TEJASNET,11,6,54.55,7.06,0.64
TENNIND,9,3,33.33,-1.71,-0.19
THELEELA,10,6,60.00,-2.22,-0.22
THERMAX,8,6,75.00,-1.10,-0.14
TIINDIA,7,4,57.14,5.67,0.81
TIMKEN,10,6,60.00,-8.18,-0.82
TITAGARH,14,11,78.57,8.00,0.57
TITAN,3,3,100.00,-0.84,-0.28
TMCV,9,4,44.44,-5.15,-0.57
TMPV,7,4,57.14,-3.48,-0.50
TORNTPHARM,6,3,50.00,0.72,0.12
TORNTPOWER,8,2,25.00,7.34,0.92
TRAVELFOOD,11,10,90.91,-4.14,-0.38
TRENT,6,6,100.00,0.62,0.10
TRIDENT,3,2,66.67,-0.74,-0.25
TRITURBINE,8,6,75.00,-1.29,-0.16
TTML,8,6,75.00,-0.25,-0.03
TVSMOTOR,6,3,50.00,-0.34,-0.06
UBL,10,7,70.00,2.81,0.28
UCOBANK,6,4,66.67,-0.93,-0.15
ULTRACEMCO,6,4,66.67,-0.77,-0.13
UNIONBANK,9,5,55.56,1.82,0.20
UNITDSPR,5,4,80.00,0.02,0.00
UNOMINDA,4,2,50.00,-1.08,-0.27
UPL,7,1,14.29,-0.70,-0.10
URBANCO,13,9,69.23,14.57,1.12
USHAMART,12,7,58.33,-3.40,-0.28
UTIAMC,3,3,100.00,-0.79,-0.26
VBL,9,6,66.67,0.41,0.05
VEDL,5,3,60.00,-2.69,-0.54
VIJAYA,11,8,72.73,-0.58,-0.05
VMM,9,5,55.56,6.86,0.76
VOLTAS,8,6,75.00,-3.42,-0.43
VTL,7,4,57.14,-2.66,-0.38
WAAREEENER,9,6,66.67,-3.84,-0.43
WELCORP,13,6,46.15,11.10,0.85
WELSPUNLIV,12,8,66.67,7.04,0.59
WHIRLPOOL,8,6,75.00,4.31,0.54
WIPRO,3,2,66.67,-2.09,-0.70
WOCKPHARMA,15,9,60.00,0.08,0.01
YESBANK,5,4,80.00,1.00,0.20
ZEEL,21,4,19.05,-22.53,-1.07
ZENSARTECH,14,8,57.14,1.38,0.10
ZENTEC,12,8,66.67,-2.53,-0.21
ZFCVINDIA,7,6,85.71,-3.36,-0.48
ZYDUSLIFE,8,6,75.00,7.92,0.99
ZYDUSWELL,14,9,64.29,8.04,0.57
