SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"DIXON","14,581.00","14,670.00","14,380.00","14,590.00","14,445.00","-","-145","-0.99","259362","377.14","18,471.00","9,600.00","3.98","-18.66"
"LT","3,999.80","4,027.70","3,975.00","3,981.00","3,975.00","-","-6","-0.15","940768","376.18","4,440.00","3,288.10","-1.24","10.39"
"BRIGADE","646.45","733.00","642.70","640.00","725.00","-","85","13.28","5390980","373.43","802.01","450.75","24.22","3.73"
"KAYNES","3,591.00","3,623.90","3,469.50","3,583.00","3,485.00","-","-98","-2.74","1053968","371.26","7,705.00","2,995.00","-8.41","-48.32"
"COFORGE","1,975.00","1,975.00","1,921.80","1,965.70","1,971.80","-","6.1","0.31","1898378","370.92","2,021.20","1,008.10","11.53","13.86"
"BAJAJ-AUTO","12,191.00","12,191.00","11,920.00","12,130.00","11,920.00","-","-210","-1.73","304296","367.31","12,470.00","8,491.50","0.54","30.76"
"ADANIPOWER","209.00","211.33","206.64","207.70","208.29","-","0.59","0.28","17538881","366.83","254.20","120.00","-2.51","70.93"
"APARINDS","16,941.00","17,772.00","16,940.00","16,813.00","17,687.00","-","874","5.2","208669","366.27","18,465.00","6,801.00","19.94","124.95"
"MEESHO","213.40","215.40","207.10","211.60","209.70","-","-1.9","-0.9","17240943","362.97","254.40","125.56","9.46","0"
"LENSKART","672.95","681.65","663.50","668.90","671.90","-","3","0.45","5393527","362.91","681.65","356.10","18.22","0"
"TORNTPOWER","1,283.50","1,327.40","1,279.20","1,248.90","1,287.00","-","38.1","3.05","2762103","361.34","1,824.10","1,188.00","-7.52","-2.07"
"CGCL","255.00","272.75","254.30","256.60","272.10","-","15.5","6.04","13362145","358.44","272.75","151.10","19.62","44.07"
"SAIL","196.50","200.04","194.26","196.50","197.00","-","0.5","0.25","17723024","350.07","209.70","120.81","19.39","51.91"
"TEJASNET","552.00","579.90","551.30","548.85","568.00","-","19.15","3.49","6100353","347.78","644.75","294.00","9.31","-7.25"
"JYOTICNC","964.70","1,039.00","964.20","955.65","1,030.10","-","74.45","7.79","3413377","347.04","1,055.90","580.10","20.02","14.94"
"GROWW","190.26","191.28","188.60","189.88","190.00","-","0.12","0.06","18098427","343.94","227.20","112.00","-1.35","0"
"TMCV","450.00","462.50","447.65","447.45","460.55","-","13.1","2.93","7518097","343.38","509.00","306.30","1.78","0"
"REDINGTON","368.90","376.65","364.60","363.20","373.55","-","10.35","2.85","9042679","334.95","378.50","191.31","7.39","57.43"
"IIFL","638.30","655.95","637.70","633.25","640.00","-","6.75","1.07","5167110","334.80","705.00","409.10","3.59","46.45"
"EICHERMOT","7,715.00","7,738.50","7,597.00","7,711.50","7,690.00","-","-21.5","-0.28","437245","334.45","8,230.00","6,282.50","-4.47","20.69"
"ELECON","418.75","457.00","418.50","416.60","436.50","-","19.9","4.78","7394075","329.89","634.90","352.00","1.91","-22.44"
"HINDUNILVR","1,978.90","1,978.90","1,959.90","1,975.00","1,962.00","-","-13","-0.66","1638341","321.88","2,750.00","1,959.90","-8.23","-26.37"
"BEL","406.05","410.30","405.15","405.75","408.60","-","2.85","0.7","7803527","318.60","473.45","368.50","4.19","7.9"
"LICHSGFIN","542.00","555.95","536.60","541.25","554.00","-","12.75","2.36","5798155","318.30","598.20","458.90","6.74","-0.56"
"URBANCO","172.95","179.20","172.32","171.84","177.60","-","5.76","3.35","17445212","308.29","201.18","100.70","21.49","0"
"TVSMOTOR","4,204.90","4,221.60","4,151.00","4,200.00","4,200.00","-","0","0","727008","304.05","4,484.50","3,228.00","-4.31","23.52"
"PFC","349.20","351.75","343.30","346.50","345.50","-","-1","-0.29","8643025","299.69","486.50","329.90","-18.03","-12.38"
"APLAPOLLO","2,230.00","2,232.00","2,136.50","2,210.00","2,159.40","-","-50.6","-2.29","1385174","299.37","2,301.40","1,629.70","11.22","28.93"
"KIRLOSENG","2,190.50","2,289.00","2,115.10","2,160.90","2,260.40","-","99.5","4.6","1330225","295.12","2,720.00","855.80","1.58","152.98"
"INOXWIND","71.90","74.56","70.54","70.59","74.00","-","3.41","4.83","39746918","287.65","159.30","68.00","-6.21","-48.86"
"PAYTM","1,622.90","1,638.80","1,608.40","1,619.00","1,637.00","-","18","1.11","1767936","287.43","1,732.30","930.60","16.1","27.07"
"TITAN","5,057.50","5,072.50","4,952.00","5,074.00","5,027.00","-","-47","-0.93","571600","285.94","5,186.70","3,303.10","0.54","36.21"
"KEI","5,209.00","5,380.00","5,171.50","5,170.00","5,327.00","-","157","3.04","536022","283.97","5,899.00","3,728.70","6.05","32.47"
"HINDCOPPER","526.00","528.80","517.00","520.95","517.80","-","-3.15","-0.6","5410660","282.26","760.05","232.30","4.6","108.82"
"PERSISTENT","5,632.00","5,668.00","5,501.00","5,690.00","5,657.00","-","-33","-0.58","501616","281.28","6,599.00","4,244.50","1.47","5.4"
"ULTRACEMCO","11,450.00","11,450.00","11,275.00","11,393.00","11,275.00","-","-118","-1.04","247711","280.82","13,110.00","10,325.00","-6.46","-11.45"
"LAURUSLABS","1,864.90","1,876.60","1,852.60","1,864.00","1,868.50","-","4.5","0.24","1506361","280.67","1,949.00","823.10","3.15","113.62"
"HEROMOTOCO","5,315.00","5,315.00","5,271.00","5,300.00","5,308.50","-","8.5","0.16","524520","277.66","6,388.50","4,671.50","-2.77","-0.76"
"PINELABS","164.20","165.20","155.10","162.32","156.25","-","-6.07","-3.74","17143077","273.21","284.00","134.73","2.68","0"
"ADANIENSOL","1,398.00","1,412.80","1,378.00","1,396.60","1,385.70","-","-10.9","-0.78","1939729","269.26","1,789.00","744.90","-15.87","81.45"
"NTPC","330.45","332.70","329.10","330.00","330.90","-","0.9","0.27","8100926","267.95","414.40","315.55","-5.7","-1"
