SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"FSL","270.15","270.80","262.75","270.40","264.90","-","-5.5","-2.03","758826","20.29","379.70","202.00","-18.33","-28.21"
"AWL","192.00","193.19","190.10","191.25","190.26","-","-0.99","-0.52","1055619","20.22","282.90","171.19","-0.02","-28.81"
"IEX","119.30","120.20","118.92","118.86","119.15","-","0.29","0.24","1683930","20.11","160.27","114.60","-6.91","-16.13"
"SCHAEFFLER","3,971.30","3,994.60","3,947.70","3,967.10","3,952.90","-","-14.2","-0.36","50015","19.76","4,467.70","3,518.40","-2.86","2.44"
"SAREGAMA","481.10","501.00","478.40","477.30","494.50","-","17.2","3.6","405441","19.74","574.50","307.05","-3.83","-0.02"
"CESC","147.50","151.11","147.00","146.44","148.00","-","1.56","1.07","1323923","19.70","204.50","138.12","-10.83","-4.61"
"VTL","584.10","595.55","584.10","587.45","590.00","-","2.55","0.43","334048","19.70","688.00","385.50","0.28","41.71"
"CANFINHOME","804.00","806.10","792.60","795.30","805.20","-","9.9","1.24","245608","19.67","971.50","720.10","-1.44","5.3"
"LTFOODS","445.80","445.80","434.90","442.45","442.85","-","0.4","0.09","442684","19.54","490.70","333.15","6.63","-1.46"
"JSWCEMENT","123.96","124.39","122.35","123.60","123.17","-","-0.43","-0.35","1584887","19.51","162.15","106.65","-7.32","-22.62"
"EMMVEE","325.00","328.60","324.00","324.70","325.50","-","0.8","0.25","594482","19.40","371.55","171.51","1.86","0"
"SOBHA","1,245.80","1,272.60","1,240.00","1,230.10","1,266.40","-","36.3","2.95","153978","19.39","1,732.00","1,130.00","-7.72","-12.85"
"TBOTEK","1,691.30","1,743.90","1,691.30","1,700.00","1,726.00","-","26","1.53","112394","19.36","1,764.80","1,004.20","6.81","8.49"
"KAJARIACER","1,261.90","1,274.50","1,250.60","1,261.10","1,255.00","-","-6.1","-0.48","153508","19.33","1,293.80","869.60","3.32","1.77"
"SARDAEN","494.90","509.00","492.05","491.05","504.85","-","13.8","2.81","382427","19.24","639.75","453.10","-2.2","-13.92"
"IRCTC","474.95","477.80","473.60","472.60","475.60","-","3","0.63","401286","19.09","739.00","470.70","-7.38","-33.28"
"NSLNISP","46.10","46.60","45.12","45.69","45.47","-","-0.22","-0.48","4161680","19.01","53.75","33.01","4.84","5.74"
"JUBLFOOD","486.50","488.45","480.50","486.50","482.90","-","-3.6","-0.74","391251","18.88","667.75","408.55","2.74","-23.93"
"ONESOURCE","1,559.00","1,596.60","1,546.00","1,544.40","1,583.00","-","38.6","2.5","118656","18.76","1,925.00","1,057.00","1.44","-16.64"
"PCBL","317.00","322.15","313.10","315.30","315.00","-","-0.3","-0.1","585739","18.58","425.95","226.50","-3.61","-17.98"
"BSOFT","295.25","297.55","290.00","294.40","294.50","-","0.1","0.03","633327","18.58","474.00","270.20","-8.4","-21.89"
"NATCOPHARM","843.30","849.95","835.80","843.25","838.30","-","-4.95","-0.59","217962","18.28","1,226.80","789.00","-9.77","-3.86"
"CCL","1,091.60","1,119.50","1,089.70","1,086.10","1,101.00","-","14.9","1.37","164624","18.18","1,242.20","815.50","-4.46","17.98"
"CHOICEIN","764.95","772.80","764.00","763.40","766.40","-","3","0.39","231618","17.81","860.50","568.70","-7.45","-2.19"
"CRISIL","4,725.20","4,800.00","4,712.80","4,701.70","4,741.00","-","39.3","0.84","37114","17.67","5,115.00","3,686.00","7.14","-6.3"
"UCOBANK","24.53","25.09","24.53","24.39","24.75","-","0.36","1.48","6948260","17.24","34.20","22.22","-5.93","-13.97"
"EMCURE","1,874.90","1,874.90","1,838.40","1,858.40","1,842.00","-","-16.4","-0.88","91447","16.96","2,048.00","1,260.00","-6.48","34.32"
"ESCORTS","3,013.70","3,030.50","2,966.00","3,019.40","2,980.00","-","-39.4","-1.3","56081","16.72","4,180.00","2,700.00","-4.96","-18.97"
"ABFRL","50.86","51.70","50.20","50.47","50.45","-","-0.02","-0.04","3271761","16.68","94.95","50.20","-19.16","-38.03"
"GLAXO","2,962.40","2,998.00","2,930.40","2,949.90","2,944.20","-","-5.7","-0.19","56012","16.55","3,120.70","2,088.10","10.59","6.02"
"SUNDARMFIN","4,551.00","4,622.40","4,533.10","4,557.20","4,597.00","-","39.8","0.87","35937","16.45","5,642.00","4,000.00","-4.8","2.65"
"CASTROLIND","186.50","186.95","185.22","186.08","186.65","-","0.57","0.31","875113","16.29","210.75","170.10","0.44","-5.98"
"IGIL","329.40","330.00","321.20","327.20","327.00","-","-0.2","-0.06","497239","16.18","392.00","287.00","-10.4","-6.03"
"TRITURBINE","565.20","573.90","562.85","565.20","571.55","-","6.35","1.12","281796","16.03","787.60","428.35","-6.55","8.37"
"SJVN","64.52","66.05","64.26","63.92","65.15","-","1.23","1.92","2436292","15.89","95.58","63.02","-6.15","-30.67"
"IOB","32.75","33.40","32.68","32.68","33.31","-","0.63","1.93","4746900","15.72","41.80","31.20","-2.32","-15.61"
"LTTS","3,540.90","3,540.90","3,467.00","3,505.00","3,509.90","-","4.9","0.14","44558","15.58","4,726.00","3,010.00","-1.54","-16.34"
"RAINBOW","1,440.00","1,454.90","1,430.50","1,433.00","1,453.00","-","20","1.4","105674","15.23","1,610.00","1,084.00","-5.99","-3.77"
"AJANTPHARM","3,462.60","3,536.70","3,456.10","3,481.70","3,525.00","-","43.3","1.24","42779","15.01","3,796.00","2,329.90","0.32","37.83"
"SYNGENE","398.80","403.00","397.00","398.60","400.35","-","1.75","0.44","375233","14.99","678.95","375.25","-0.46","-38.59"
"DEVYANI","139.31","140.15","136.30","138.07","137.80","-","-0.27","-0.2","1003158","13.83","191.00","91.55","18.02","-21.36"
"HOMEFIRST","1,197.10","1,218.00","1,187.90","1,196.70","1,208.80","-","12.1","1.01","114599","13.81","1,317.70","893.70","3.3","-4.14"
"CHOLAHLDNG","1,499.70","1,509.80","1,470.30","1,489.00","1,507.00","-","18","1.21","91933","13.77","2,064.00","1,305.00","-4.29","-13.8"
"VIJAYA","1,478.30","1,513.80","1,478.30","1,481.10","1,496.00","-","14.9","1.01","90795","13.59","1,573.00","848.00","10.49","40.44"
"AIIL","514.60","522.15","508.25","507.45","517.00","-","9.55","1.88","263000","13.56","683.00","400.00","-5.79","-18.38"
"MAPMYINDIA","992.00","998.00","963.10","982.60","970.70","-","-11.9","-1.21","137707","13.45","1,998.00","795.00","-18.84","-41.11"
"AADHARHFC","479.00","480.60","471.00","475.40","476.25","-","0.85","0.18","273006","13.06","563.00","430.15","-5.53","-7.6"
"SUMICHEM","511.60","515.25","495.40","505.15","497.75","-","-7.4","-1.46","255711","12.87","617.45","362.60","-3.51","-15.71"
"BIKAJI","595.00","595.35","584.20","590.20","586.60","-","-3.6","-0.61","218603","12.84","818.70","584.20","-9.75","-25.26"
"ITCHOTELS","159.42","160.89","159.25","158.63","160.70","-","2.07","1.3","796973","12.74","253.67","137.30","-2.74","-35.89"
"INTELLECT","679.75","684.70","675.80","679.25","678.35","-","-0.9","-0.13","187026","12.72","1,244.60","595.20","-9.41","-28.82"
"NAVA","564.20","569.20","554.30","560.75","557.00","-","-3.75","-0.67","224924","12.63","739.40","501.65","-3.95","-20.91"
"FACT","804.30","813.00","796.95","804.30","803.00","-","-1.3","-0.16","155180","12.48","1,058.60","652.10","-4.77","-20.27"
"CIEINDIA","386.95","389.00","382.30","385.00","383.35","-","-1.65","-0.43","322875","12.42","526.00","382.30","-8.65","-4.02"
"IRCON","118.80","120.71","118.40","118.25","118.60","-","0.35","0.3","1024866","12.25","189.50","114.50","-10.07","-31.08"
"LATENTVIEW","273.45","273.45","265.25","271.00","265.80","-","-5.2","-1.92","449716","12.05","517.50","248.00","-10.76","-37.44"
"ACC","1,269.00","1,280.00","1,268.00","1,266.60","1,277.00","-","10.4","0.82","93466","11.91","1,987.00","1,251.70","-8.66","-30.71"
"MINDACORP","710.05","713.00","698.65","707.85","705.35","-","-2.5","-0.35","168823","11.91","769.00","468.50","-3.06","39.2"
"TECHNOE","969.95","985.00","964.15","969.95","981.70","-","11.75","1.21","121380","11.82","1,575.00","870.00","-1.77","-36.63"
"JUBLPHARMA","905.00","910.80","891.20","900.30","909.90","-","9.6","1.07","125766","11.36","1,184.80","786.05","-2.49","-13.52"
"ASAHIINDIA","955.70","965.00","949.50","951.05","963.05","-","12","1.26","118263","11.35","1,074.00","775.10","7.36","15.16"
"JUBLINGREA","687.00","701.05","686.90","683.60","690.50","-","6.9","1.01","156564","10.88","795.00","537.30","-8.84","-5.63"
"BLUEJET","583.20","586.25","577.00","580.35","580.35","-","0","0","186895","10.86","759.50","325.00","-1.55","-17.75"
"HONAUT","35,040.00","35,515.00","34,800.00","35,170.00","35,310.00","-","140","0.4","3070","10.76","41,495.00","26,220.00","-8.45","-3.93"
"IKS","1,740.90","1,763.80","1,717.90","1,744.10","1,738.00","-","-6.1","-0.35","61480","10.64","1,933.00","1,262.00","-5.87","10.58"
"DCMSHRIRAM","1,030.00","1,045.90","1,015.00","1,028.00","1,015.10","-","-12.9","-1.25","102771","10.51","1,414.40","945.10","-1.43","-18.15"
"TATAINVEST","628.20","640.90","628.20","628.10","639.65","-","11.55","1.84","165245","10.50","1,184.70","538.85","-5.47","-5.97"
"LINDEINDIA","6,357.00","6,418.00","6,316.00","6,352.50","6,389.00","-","36.5","0.57","16313","10.40","8,049.00","5,673.00","-8.47","-0.77"
"ANURAS","1,240.30","1,248.90","1,235.00","1,240.30","1,240.20","-","-0.1","-0.01","82580","10.24","1,415.00","1,045.20","2.51","12.15"
"EIHOTEL","288.50","292.30","287.80","285.80","289.35","-","3.55","1.24","350687","10.20","434.80","271.15","-12.34","-29.85"
"IGL","148.15","150.06","148.15","147.94","149.21","-","1.27","0.86","680077","10.16","223.50","141.74","-4.46","-31.9"
"CONCORDBIO","1,450.90","1,461.80","1,435.00","1,444.80","1,450.00","-","5.2","0.36","69958","10.14","1,730.00","987.00","2.5","-14.65"
"JKTYRE","371.50","373.00","367.35","370.15","369.00","-","-1.15","-0.31","265679","9.85","611.90","330.10","-10.07","6.59"
"ERIS","1,320.00","1,336.70","1,288.90","1,288.90","1,300.00","-","11.1","0.86","74397","9.68","1,799.00","1,200.00","-6.02","-26.96"
"STARHEALTH","562.95","569.50","557.20","562.95","566.00","-","3.05","0.54","169205","9.50","624.90","416.55","-4.49","25.21"
"DALBHARAT","1,790.00","1,792.00","1,763.00","1,773.10","1,776.00","-","2.9","0.16","53528","9.49","2,496.30","1,605.00","-3.72","-26.36"
"WHIRLPOOL","804.00","809.60","793.00","800.20","805.65","-","5.45","0.68","118187","9.48","1,437.00","751.00","-2.28","-40.1"
"JWL","241.00","244.02","240.50","239.37","240.98","-","1.61","0.67","388324","9.39","358.25","235.65","-9.05","-26.96"
"RAILTEL","272.90","274.00","270.20","271.55","270.90","-","-0.65","-0.24","342611","9.32","412.90","245.00","-7.31","-22.17"
"BERGEPAINT","489.00","497.00","485.40","488.05","489.30","-","1.25","0.26","188441","9.25","594.55","391.10","-7.07","-9.86"
"MGL","1,065.20","1,078.90","1,065.10","1,065.20","1,065.50","-","0.3","0.03","84444","9.03","1,378.00","900.00","-4.5","-17.08"
"APOLLOTYRE","435.70","439.80","433.10","434.15","434.75","-","0.6","0.14","197622","8.62","540.50","365.30","-0.42","-10.48"
"SAPPHIRE","227.45","231.40","224.03","228.21","228.50","-","0.29","0.13","367836","8.39","347.90","139.91","21.88","-29.29"
"ZFCVINDIA","2,572.20","2,583.70","2,520.00","2,572.20","2,524.00","-","-48.2","-1.87","32790","8.35","3,044.00","2,050.33","3.11","9.72"
"SUNTV","462.00","466.90","460.10","460.60","465.95","-","5.35","1.16","179475","8.32","660.70","455.25","-7.51","-16.99"
"BBTC","1,504.50","1,515.10","1,495.00","1,492.70","1,504.00","-","11.3","0.76","54804","8.25","2,135.00","1,314.60","-2.16","-18.06"
"BHARTIHEXA","1,524.00","1,534.90","1,501.00","1,531.10","1,504.90","-","-26.2","-1.71","54312","8.20","1,955.60","1,430.00","-8.56","-15.79"
"ABBOTINDIA","26,175.00","26,175.00","25,905.00","26,045.00","25,920.00","-","-125","-0.48","3151","8.18","32,775.00","25,150.00","-7.08","-20.43"
"CARBORUNIV","1,077.00","1,088.80","1,070.00","1,071.50","1,072.20","-","0.7","0.07","73895","7.98","1,306.90","735.20","-2.13","13.18"
"ABDL","609.95","615.30","602.30","604.40","607.95","-","3.55","0.59","127184","7.75","711.70","382.10","-1.87","23.35"
"BAYERCROP","3,998.90","4,009.00","3,936.00","3,979.50","3,967.00","-","-12.5","-0.31","19211","7.63","5,489.00","3,935.00","-7.81","-23.36"
"ZYDUSWELL","538.00","541.40","531.10","534.60","536.95","-","2.35","0.44","135712","7.30","611.85","367.55","-4.09","15.3"
"INDIAMART","1,749.90","1,758.60","1,726.10","1,740.80","1,728.00","-","-12.8","-0.74","39380","6.83","2,630.00","1,722.30","-3.93","-31.64"
"RAMCOCEM","860.55","882.70","860.55","864.35","880.00","-","15.65","1.81","74858","6.53","1,214.50","838.30","-6.9","-18.85"
"MMTC","62.89","63.59","62.13","62.10","62.30","-","0.2","0.32","1036048","6.51","78.35","50.10","-2.12","-3.46"
"3MINDIA","32,995.00","33,050.00","32,665.00","32,895.00","32,810.00","-","-85","-0.26","1978","6.49","38,030.00","28,730.00","-8.75","5.91"
"TEGA","1,552.00","1,561.90","1,539.00","1,539.70","1,548.50","-","8.8","0.57","41708","6.47","2,125.00","1,473.00","-2.47","-22.08"
"BATAINDIA","671.45","680.25","671.10","670.45","676.00","-","5.55","0.83","88601","5.99","1,282.50","605.00","-4.74","-41.84"
"RITES","212.95","215.78","212.94","212.60","214.90","-","2.3","1.08","278105","5.95","280.90","175.00","-2.01","-18.18"
"GODREJIND","1,139.00","1,161.40","1,139.00","1,138.80","1,158.80","-","20","1.76","50655","5.83","1,443.00","744.20","-13.33","-3.51"
"DOMS","2,207.10","2,215.70","2,194.00","2,206.30","2,204.90","-","-1.4","-0.06","25864","5.70","2,770.00","2,023.90","-3.8","-11.92"
"JSWDULUX","3,180.00","3,186.80","3,140.10","3,163.30","3,175.00","-","11.7","0.37","17816","5.64","3,745.00","2,658.70","5.29","-5.89"
"RHIM","371.00","374.00","368.15","370.50","370.00","-","-0.5","-0.13","141692","5.26","508.30","323.05","-10.25","-22.66"
"ABLBL","82.80","83.99","82.70","82.78","83.72","-","0.94","1.14","615778","5.13","151.33","82.61","-12.71","-41.48"
"PFIZER","4,680.00","4,695.00","4,601.00","4,627.60","4,640.00","-","12.4","0.27","10609","4.91","5,578.50","4,360.10","-5.59","-10.32"
"UTIAMC","875.00","885.00","875.00","877.00","882.00","-","5","0.57","54346","4.78","1,418.00","866.00","-3.69","-34.64"
"TIMKEN","3,142.60","3,148.00","3,112.00","3,134.50","3,129.00","-","-5.5","-0.18","14717","4.60","3,925.00","2,800.50","-2.71","6.62"
"GILLETTE","7,355.00","7,394.50","7,330.00","7,346.00","7,346.50","-","0.5","0.01","6217","4.57","10,740.00","7,206.00","-4.83","-27.46"
"NIVABUPA","80.73","81.69","80.21","80.73","80.89","-","0.16","0.2","531089","4.29","91.40","67.50","-6.55","-3.51"
"TRIDENT","24.06","24.24","23.90","24.06","23.97","-","-0.09","-0.37","1720094","4.13","30.94","21.98","-3.89","-15.54"
"CHALET","905.00","905.00","889.50","897.95","890.00","-","-7.95","-0.89","44753","4.00","1,070.10","691.35","8.34","-13.08"
"TRAVELFOOD","1,279.90","1,300.00","1,265.00","1,273.50","1,280.90","-","7.4","0.58","30371","3.87","1,470.90","1,035.30","-4.74","-0.23"
"TTML","38.25","38.25","37.82","38.00","38.03","-","0.03","0.08","978489","3.72","60.62","31.22","-5.42","-34.37"
"GALLANTT","558.00","576.00","557.95","555.40","575.00","-","19.6","3.53","58030","3.30","948.00","496.25","-8.38","-7.03"
"ITI","268.50","271.45","268.00","267.70","269.00","-","1.3","0.49","109100","2.94","372.85","237.00","-4.66","-14.67"
"CANHLIFE","154.67","155.20","152.90","152.81","154.20","-","1.39","0.91","190371","2.94","166.69","106.00","2.17","0"
"SPLPETRO","721.10","727.50","717.55","721.85","726.00","-","4.15","0.57","33727","2.44","979.00","462.30","1.41","-6.42"
"INDIACEM","358.30","362.95","356.10","358.30","359.55","-","1.25","0.35","57565","2.07","485.80","342.35","-8.03","-10.95"
"GODIGIT","258.30","260.10","256.25","258.40","257.75","-","-0.65","-0.25","78847","2.04","381.40","244.20","-1.9","-27.3"
"BLUEDART","5,008.50","5,049.60","4,981.10","5,017.50","5,030.00","-","12.5","0.25","4042","2.03","7,036.00","4,628.50","-7.32","-12.58"
