date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-11-21,19,10,52.63,-1.28,-0.07
2025-11-24,18,9,50.00,-2.59,-0.14
2025-11-25,18,9,50.00,-2.59,-0.14
2025-11-26,19,10,52.63,-2.38,-0.13
2025-11-27,19,10,52.63,1.18,0.06
2025-11-28,19,9,47.37,1.34,0.07
2025-12-01,16,7,43.75,0.71,0.04
2025-12-02,17,8,47.06,1.14,0.07
2025-12-03,18,9,50.00,1.43,0.08
2025-12-04,18,9,50.00,1.33,0.07
2025-12-05,18,10,55.56,1.94,0.11
2025-12-08,17,10,58.82,4.15,0.24
2025-12-09,18,11,61.11,4.77,0.27
2025-12-10,19,12,63.16,4.95,0.26
2025-12-11,19,12,63.16,4.20,0.22
2025-12-12,19,12,63.16,4.72,0.25
2025-12-15,16,11,68.75,4.98,0.31
2025-12-16,17,12,70.59,5.18,0.30
2025-12-17,17,12,70.59,5.18,0.30
2025-12-18,17,13,76.47,6.09,0.36
2025-12-19,17,13,76.47,6.03,0.35
2025-12-22,16,13,81.25,6.53,0.41
2025-12-23,17,13,76.47,5.04,0.30
2025-12-24,18,14,77.78,5.94,0.33
2025-12-26,18,14,77.78,6.55,0.36
2025-12-29,17,14,82.35,3.78,0.22
2025-12-30,18,15,83.33,3.91,0.22
2025-12-31,19,16,84.21,4.49,0.24
2026-01-01,19,16,84.21,4.17,0.22
2026-01-02,19,15,78.95,4.13,0.22
2026-01-05,17,13,76.47,3.92,0.23
2026-01-06,18,14,77.78,4.19,0.23
2026-01-07,18,14,77.78,4.19,0.23
2026-01-08,18,14,77.78,3.93,0.22
2026-01-09,18,14,77.78,3.90,0.22
2026-01-12,16,13,81.25,3.67,0.23
2026-01-13,17,14,82.35,4.73,0.28
2026-01-14,18,15,83.33,6.08,0.34
2026-01-16,18,15,83.33,6.50,0.36
2026-01-19,15,12,80.00,4.57,0.30
2026-01-20,16,13,81.25,5.19,0.32
2026-01-21,17,14,82.35,5.53,0.33
2026-01-22,17,15,88.24,8.28,0.49
2026-01-23,17,15,88.24,8.24,0.48
2026-01-27,16,15,93.75,8.61,0.54
2026-01-28,17,16,94.12,9.72,0.57
2026-01-29,17,16,94.12,10.51,0.62
2026-01-30,17,16,94.12,10.26,0.60
2026-02-01,16,16,100.00,11.72,0.73
2026-02-02,16,16,100.00,11.71,0.73
