date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-04-30,17,12,70.59,9.91,0.58
2025-05-02,17,11,64.71,7.29,0.43
2025-05-05,15,9,60.00,6.92,0.46
2025-05-06,16,10,62.50,7.73,0.48
2025-05-07,17,11,64.71,8.33,0.49
2025-05-08,17,11,64.71,6.98,0.41
2025-05-09,17,12,70.59,8.20,0.48
2025-05-12,16,12,75.00,9.83,0.61
2025-05-13,17,12,70.59,4.73,0.28
2025-05-14,18,13,72.22,8.79,0.49
2025-05-15,19,13,68.42,2.71,0.14
2025-05-16,19,13,68.42,4.29,0.23
2025-05-19,19,12,63.16,-12.07,-0.64
2025-05-20,20,12,60.00,-13.79,-0.69
2025-05-21,21,12,57.14,-20.67,-0.98
2025-05-22,21,12,57.14,-20.22,-0.96
2025-05-23,20,11,55.00,-21.01,-1.05
2025-05-26,18,9,50.00,-21.91,-1.22
2025-05-27,19,10,52.63,-21.65,-1.14
2025-05-28,20,11,55.00,-21.14,-1.06
2025-05-29,20,10,50.00,-26.40,-1.32
2025-05-30,20,10,50.00,-26.14,-1.31
2025-06-02,19,10,52.63,-25.67,-1.35
2025-06-03,20,11,55.00,-24.64,-1.23
2025-06-04,21,12,57.14,-24.02,-1.14
2025-06-05,21,12,57.14,-24.13,-1.15
2025-06-06,21,11,52.38,-27.87,-1.33
2025-06-09,18,10,55.56,-33.66,-1.87
2025-06-10,19,10,52.63,-32.77,-1.72
2025-06-11,20,11,55.00,-32.21,-1.61
2025-06-12,20,12,60.00,-26.58,-1.33
2025-06-13,20,12,60.00,-30.44,-1.52
2025-06-16,18,12,66.67,-5.43,-0.30
2025-06-17,19,13,68.42,-4.88,-0.26
2025-06-18,20,14,70.00,-4.05,-0.20
2025-06-19,20,15,75.00,-0.77,-0.04
2025-06-20,20,15,75.00,2.37,0.12
2025-06-23,19,14,73.68,3.07,0.16
2025-06-24,19,14,73.68,3.07,0.16
2025-06-25,20,14,70.00,4.09,0.20
2025-06-26,20,14,70.00,4.77,0.24
2025-06-27,19,13,68.42,4.26,0.22
2025-06-30,17,12,70.59,6.38,0.38
2025-07-01,18,13,72.22,6.52,0.36
2025-07-02,18,13,72.22,6.52,0.36
2025-07-03,18,12,66.67,1.44,0.08
2025-07-04,18,12,66.67,1.34,0.07
2025-07-07,17,11,64.71,3.40,0.20
2025-07-08,18,12,66.67,3.69,0.20
2025-07-09,19,13,68.42,4.20,0.22
2025-07-10,18,13,72.22,3.31,0.18
2025-07-11,17,12,70.59,2.75,0.16
2025-07-14,15,10,66.67,-0.16,-0.01
2025-07-15,16,11,68.75,1.59,0.10
2025-07-16,17,12,70.59,1.72,0.10
2025-07-17,16,11,68.75,1.17,0.07
2025-07-18,15,10,66.67,0.34,0.02
2025-07-21,12,8,66.67,0.44,0.04
2025-07-22,13,9,69.23,0.58,0.04
2025-07-23,14,10,71.43,1.27,0.09
2025-07-24,14,10,71.43,1.27,0.09
2025-07-25,14,11,78.57,0.53,0.04
2025-07-28,13,9,69.23,-3.80,-0.29
2025-07-29,14,10,71.43,-2.50,-0.18
2025-07-30,15,10,66.67,-1.96,-0.13
2025-07-31,15,10,66.67,-1.19,-0.08
2025-08-01,16,10,62.50,-1.81,-0.11
2025-08-04,14,10,71.43,2.24,0.16
2025-08-05,15,11,73.33,3.31,0.22
2025-08-06,16,12,75.00,4.35,0.27
2025-08-07,15,11,73.33,4.06,0.27
2025-08-08,15,10,66.67,2.68,0.18
2025-08-11,15,11,73.33,3.49,0.23
2025-08-12,16,12,75.00,4.74,0.30
2025-08-13,17,12,70.59,5.89,0.35
2025-08-14,17,12,70.59,4.96,0.29
2025-08-18,17,12,70.59,5.12,0.30
2025-08-19,18,13,72.22,5.37,0.30
2025-08-20,19,13,68.42,2.71,0.14
2025-08-21,19,13,68.42,3.79,0.20
2025-08-22,18,12,66.67,3.10,0.17
2025-08-25,17,12,70.59,6.45,0.38
2025-08-26,17,12,70.59,6.45,0.38
2025-08-28,16,11,68.75,5.15,0.32
2025-08-29,15,11,73.33,4.61,0.31
2025-09-01,13,10,76.92,4.99,0.38
2025-09-02,14,10,71.43,0.13,0.01
2025-09-03,15,10,66.67,-1.87,-0.12
2025-09-04,15,10,66.67,-2.82,-0.19
2025-09-05,15,10,66.67,-3.35,-0.22
2025-09-08,14,10,71.43,-1.87,-0.13
2025-09-09,15,11,73.33,-1.50,-0.10
2025-09-10,16,12,75.00,-0.89,-0.06
2025-09-11,16,11,68.75,-1.24,-0.08
2025-09-12,16,11,68.75,-4.24,-0.27
2025-09-15,15,10,66.67,-5.14,-0.34
2025-09-16,16,10,62.50,-7.88,-0.49
2025-09-17,17,11,64.71,-7.70,-0.45
2025-09-18,16,10,62.50,-7.95,-0.50
2025-09-19,16,11,68.75,-5.17,-0.32
2025-09-22,15,10,66.67,-5.65,-0.38
2025-09-23,16,11,68.75,-4.72,-0.30
2025-09-24,17,11,64.71,-6.30,-0.37
2025-09-25,18,12,66.67,-5.44,-0.30
2025-09-26,19,13,68.42,-4.95,-0.26
2025-09-29,19,13,68.42,-4.24,-0.22
2025-09-30,20,13,65.00,-5.07,-0.25
2025-10-01,21,14,66.67,-4.66,-0.22
2025-10-03,20,14,70.00,1.44,0.07
2025-10-06,18,11,61.11,-0.12,-0.01
2025-10-07,19,12,63.16,0.02,0.00
2025-10-08,20,13,65.00,0.31,0.02
2025-10-09,20,13,65.00,1.17,0.06
2025-10-10,20,12,60.00,-0.04,-0.00
2025-10-13,18,11,61.11,0.07,0.00
2025-10-14,19,11,57.89,-0.27,-0.01
2025-10-15,19,11,57.89,-0.27,-0.01
2025-10-16,19,12,63.16,3.47,0.18
2025-10-17,19,11,57.89,2.90,0.15
2025-10-20,18,9,50.00,0.64,0.04
2025-10-21,18,9,50.00,0.64,0.04
2025-10-23,18,9,50.00,0.63,0.04
2025-10-24,18,10,55.56,3.10,0.17
2025-10-27,16,8,50.00,0.56,0.04
2025-10-28,17,9,52.94,0.70,0.04
2025-10-29,18,10,55.56,0.84,0.05
2025-10-30,18,11,61.11,1.92,0.11
2025-10-31,17,10,58.82,1.51,0.09
2025-11-03,16,10,62.50,1.89,0.12
2025-11-04,17,11,64.71,2.20,0.13
2025-11-06,17,11,64.71,4.81,0.28
2025-11-07,17,10,58.82,3.07,0.18
2025-11-10,15,9,60.00,2.34,0.16
2025-11-11,16,9,56.25,2.63,0.16
2025-11-12,17,10,58.82,2.99,0.18
2025-11-13,16,10,62.50,3.33,0.21
2025-11-14,17,11,64.71,3.77,0.22
2025-11-17,15,11,73.33,5.15,0.34
2025-11-18,16,11,68.75,2.92,0.18
2025-11-19,17,11,64.71,2.87,0.17
2025-11-20,18,12,66.67,3.59,0.20
