date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2025-11-27,18,13,72.22,-1.03,-0.06
2025-11-28,19,14,73.68,-0.68,-0.04
2025-12-01,17,14,82.35,2.04,0.12
2025-12-02,18,15,83.33,2.56,0.14
2025-12-03,19,16,84.21,3.30,0.17
2025-12-04,19,17,89.47,4.48,0.24
2025-12-05,19,16,84.21,4.19,0.22
2025-12-08,17,14,82.35,3.49,0.21
2025-12-09,18,15,83.33,4.09,0.23
2025-12-10,19,16,84.21,4.42,0.23
2025-12-11,18,15,83.33,3.94,0.22
2025-12-12,18,15,83.33,4.33,0.24
2025-12-15,15,12,80.00,3.39,0.23
2025-12-16,16,12,75.00,2.40,0.15
2025-12-17,17,13,76.47,2.76,0.16
2025-12-18,16,12,75.00,2.29,0.14
2025-12-19,16,12,75.00,2.19,0.14
2025-12-22,15,10,66.67,0.37,0.02
2025-12-23,16,11,68.75,0.62,0.04
2025-12-24,17,12,70.59,0.73,0.04
2025-12-26,17,13,76.47,0.88,0.05
2025-12-29,15,12,80.00,2.68,0.18
2025-12-30,15,12,80.00,2.68,0.18
2025-12-31,16,13,81.25,2.91,0.18
2026-01-01,16,12,75.00,4.06,0.25
2026-01-02,15,11,73.33,3.32,0.22
2026-01-05,14,10,71.43,2.72,0.19
2026-01-06,15,11,73.33,3.20,0.21
2026-01-07,16,11,68.75,-0.51,-0.03
2026-01-08,16,10,62.50,-0.41,-0.03
2026-01-09,16,10,62.50,-0.44,-0.03
2026-01-12,16,10,62.50,-0.78,-0.05
2026-01-13,17,11,64.71,-0.26,-0.02
2026-01-14,18,12,66.67,0.17,0.01
2026-01-16,17,12,70.59,1.11,0.07
2026-01-19,16,11,68.75,-0.09,-0.01
2026-01-20,17,11,64.71,-1.58,-0.09
2026-01-21,18,12,66.67,-1.34,-0.07
2026-01-22,18,12,66.67,-0.39,-0.02
2026-01-23,17,11,64.71,-0.50,-0.03
2026-01-27,16,10,62.50,-0.95,-0.06
2026-01-28,17,11,64.71,-0.43,-0.03
2026-01-29,18,11,61.11,-1.59,-0.09
2026-01-30,18,11,61.11,-1.31,-0.07
2026-02-01,18,11,61.11,-2.74,-0.15
2026-02-02,18,12,66.67,-1.29,-0.07
2026-02-03,18,12,66.67,-1.29,-0.07
2026-02-04,19,12,63.16,-2.26,-0.12
2026-02-05,19,11,57.89,-5.65,-0.30
2026-02-06,19,12,63.16,-1.60,-0.08
2026-02-09,17,11,64.71,-2.60,-0.15
2026-02-10,18,11,61.11,-3.09,-0.17
2026-02-11,19,11,57.89,-3.37,-0.18
2026-02-12,19,11,57.89,-3.76,-0.20
2026-02-13,19,11,57.89,-1.61,-0.08
2026-02-16,18,10,55.56,0.45,0.02
2026-02-17,19,11,57.89,1.02,0.05
2026-02-18,20,12,60.00,1.94,0.10
2026-02-19,20,13,65.00,3.78,0.19
2026-02-20,19,12,63.16,3.54,0.19
2026-02-23,18,11,61.11,2.28,0.13
2026-02-24,19,12,63.16,2.95,0.16
2026-02-25,20,12,60.00,2.93,0.15
2026-02-26,20,12,60.00,2.93,0.15
2026-02-27,20,11,55.00,2.06,0.10
2026-03-02,18,11,61.11,3.19,0.18
2026-03-04,18,10,55.56,4.51,0.25
2026-03-05,19,10,52.63,3.96,0.21
2026-03-06,19,10,52.63,4.30,0.23
2026-03-09,16,8,50.00,6.45,0.40
2026-03-10,17,8,47.06,7.35,0.43
2026-03-11,18,8,44.44,7.21,0.40
2026-03-12,18,9,50.00,8.34,0.46
2026-03-13,18,9,50.00,7.84,0.44
2026-03-16,15,7,46.67,4.68,0.31
2026-03-17,16,7,43.75,5.86,0.37
2026-03-18,17,7,41.18,5.65,0.33
2026-03-19,17,7,41.18,5.25,0.31
2026-03-20,17,6,35.29,2.18,0.13
2026-03-23,16,4,25.00,0.95,0.06
2026-03-24,17,4,23.53,0.62,0.04
2026-03-25,18,5,27.78,1.90,0.11
2026-03-27,16,4,25.00,1.25,0.08
2026-03-30,15,3,20.00,0.66,0.04
2026-04-01,16,3,18.75,0.59,0.04
2026-04-02,16,4,25.00,-0.42,-0.03
2026-04-06,15,4,26.67,1.00,0.07
2026-04-07,16,5,31.25,2.71,0.17
2026-04-08,17,6,35.29,2.95,0.17
2026-04-09,17,6,35.29,2.78,0.16
2026-04-10,17,7,41.18,4.00,0.24
2026-04-13,15,6,40.00,4.14,0.28
2026-04-15,16,7,43.75,4.99,0.31
2026-04-16,16,7,43.75,2.92,0.18
2026-04-17,16,7,43.75,1.69,0.11
2026-04-20,14,7,50.00,4.86,0.35
2026-04-21,15,8,53.33,4.97,0.33
2026-04-22,16,9,56.25,5.08,0.32
2026-04-23,16,10,62.50,5.58,0.35
2026-04-24,16,10,62.50,4.76,0.30
2026-04-27,16,11,68.75,5.23,0.33
2026-04-28,17,12,70.59,5.73,0.34
2026-04-29,18,13,72.22,6.33,0.35
2026-04-30,18,14,77.78,6.61,0.37
2026-05-04,17,14,82.35,5.57,0.33
2026-05-05,18,15,83.33,5.75,0.32
2026-05-06,19,16,84.21,6.13,0.32
2026-05-07,19,16,84.21,5.40,0.28
2026-05-08,18,15,83.33,5.16,0.29
2026-05-11,17,15,88.24,3.65,0.21
2026-05-12,18,16,88.89,3.77,0.21
2026-05-13,19,17,89.47,4.12,0.22
2026-05-14,18,16,88.89,3.27,0.18
2026-05-15,19,16,84.21,1.70,0.09
2026-05-18,17,16,94.12,3.95,0.23
2026-05-19,18,17,94.44,5.54,0.31
2026-05-20,19,17,89.47,4.63,0.24
2026-05-21,19,17,89.47,4.76,0.25
2026-05-22,19,17,89.47,4.90,0.26
2026-05-25,17,15,88.24,4.13,0.24
2026-05-26,18,16,88.89,6.06,0.34
2026-05-27,19,16,84.21,6.02,0.32
2026-05-29,18,14,77.78,4.78,0.27
2026-06-01,16,12,75.00,4.27,0.27
2026-06-02,17,13,76.47,4.44,0.26
2026-06-03,18,13,72.22,4.91,0.27
2026-06-04,18,13,72.22,4.92,0.27
2026-06-05,18,13,72.22,4.73,0.26
2026-06-08,17,12,70.59,3.61,0.21
2026-06-09,18,13,72.22,4.15,0.23
2026-06-10,19,14,73.68,5.14,0.27
2026-06-11,19,14,73.68,5.36,0.28
2026-06-12,19,13,68.42,5.43,0.29
2026-06-15,18,13,72.22,7.07,0.39
2026-06-16,18,13,72.22,7.07,0.39
2026-06-17,18,13,72.22,7.07,0.39
2026-06-18,18,13,72.22,6.40,0.36
2026-06-19,18,14,77.78,7.58,0.42
2026-06-22,16,11,68.75,7.57,0.47
2026-06-23,16,11,68.75,7.57,0.47
2026-06-24,17,12,70.59,7.97,0.47
2026-06-25,17,12,70.59,7.00,0.41
2026-06-29,15,12,80.00,7.18,0.48
2026-06-30,16,13,81.25,7.36,0.46
2026-07-01,17,14,82.35,8.56,0.50
2026-07-02,17,14,82.35,8.67,0.51
2026-07-03,17,15,88.24,8.74,0.51
2026-07-06,15,12,80.00,7.12,0.47
2026-07-07,16,13,81.25,7.31,0.46
2026-07-08,17,14,82.35,8.64,0.51
2026-07-09,17,14,82.35,8.82,0.52
2026-07-10,17,14,82.35,8.45,0.50
2026-07-13,15,13,86.67,7.22,0.48
2026-07-14,16,14,87.50,7.33,0.46
2026-07-15,17,14,82.35,3.99,0.23
2026-07-16,18,14,77.78,4.34,0.24
2026-07-17,19,15,78.95,4.79,0.25
2026-07-20,17,13,76.47,2.22,0.13
2026-07-21,18,14,77.78,2.33,0.13
2026-07-22,19,14,73.68,2.62,0.14
2026-07-23,20,15,75.00,2.87,0.14
2026-07-24,19,14,73.68,2.47,0.13
2026-07-27,19,13,68.42,1.79,0.09
2026-07-28,20,14,70.00,1.99,0.10
2026-07-29,21,15,71.43,2.97,0.14
2026-07-30,21,14,66.67,-1.91,-0.09
2026-07-31,21,13,61.90,-2.20,-0.10
2026-08-03,18,11,61.11,-1.94,-0.11
2026-08-04,19,11,57.89,-1.34,-0.07
2026-08-05,20,12,60.00,-0.10,-0.00
2026-08-06,20,12,60.00,0.34,0.02
2026-08-07,20,12,60.00,-0.73,-0.04
2026-08-10,18,9,50.00,-2.57,-0.14
2026-08-11,19,10,52.63,-2.47,-0.13
2026-08-12,20,11,55.00,-2.19,-0.11
2026-08-13,20,10,50.00,-0.56,-0.03
2026-08-14,20,10,50.00,1.69,0.08
2026-08-17,18,9,50.00,1.97,0.11
2026-08-18,18,9,50.00,1.97,0.11
2026-08-19,18,9,50.00,1.97,0.11
2026-08-20,18,9,50.00,2.07,0.12
2026-08-21,18,10,55.56,2.42,0.13
2026-08-24,17,10,58.82,2.27,0.13
2026-08-25,18,11,61.11,2.54,0.14
2026-08-26,18,11,61.11,2.54,0.14
2026-08-27,18,10,55.56,-0.98,-0.05
2026-08-28,18,9,50.00,-2.13,-0.12
2026-08-31,17,10,58.82,1.81,0.11
2026-09-01,18,11,61.11,2.33,0.13
2026-09-02,19,11,57.89,1.27,0.07
2026-09-03,19,12,63.16,1.04,0.05
2026-09-04,19,12,63.16,0.23,0.01
2026-09-07,17,11,64.71,-0.07,-0.00
2026-09-08,18,12,66.67,0.51,0.03
2026-09-09,19,13,68.42,1.76,0.09
2026-09-10,19,13,68.42,2.72,0.14
2026-09-11,19,13,68.42,3.63,0.19
2026-09-15,17,13,76.47,2.41,0.14
2026-09-16,18,14,77.78,2.56,0.14
