date,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
2026-01-02,17,7,41.18,-4.39,-0.26
2026-01-05,16,6,37.50,-8.37,-0.52
2026-01-06,17,6,35.29,-7.96,-0.47
2026-01-07,18,6,33.33,-11.80,-0.66
2026-01-08,18,5,27.78,-12.86,-0.71
2026-01-09,18,5,27.78,-16.65,-0.92
2026-01-12,16,4,25.00,-11.35,-0.71
2026-01-13,17,5,29.41,-9.21,-0.54
2026-01-14,18,5,27.78,-10.39,-0.58
2026-01-16,17,6,35.29,-9.26,-0.54
2026-01-19,17,7,41.18,-8.23,-0.48
2026-01-20,18,8,44.44,-7.89,-0.44
2026-01-21,19,9,47.37,-7.35,-0.39
2026-01-22,19,10,52.63,-1.88,-0.10
2026-01-23,19,11,57.89,-1.14,-0.06
2026-01-27,19,11,57.89,0.84,0.04
2026-01-28,20,12,60.00,1.03,0.05
2026-01-29,20,11,55.00,-5.53,-0.28
2026-01-30,20,10,50.00,-12.51,-0.63
2026-02-01,19,9,47.37,-21.10,-1.11
2026-02-02,19,9,47.37,-16.18,-0.85
2026-02-03,20,10,50.00,-14.68,-0.73
2026-02-04,21,11,52.38,-7.86,-0.37
2026-02-05,21,11,52.38,-9.21,-0.44
2026-02-06,21,11,52.38,-4.34,-0.21
2026-02-09,19,10,52.63,-1.83,-0.10
2026-02-10,20,10,50.00,-3.71,-0.19
2026-02-11,21,11,52.38,-2.36,-0.11
2026-02-12,21,11,52.38,-4.20,-0.20
2026-02-13,21,12,57.14,-2.78,-0.13
2026-02-16,20,10,50.00,-7.11,-0.36
2026-02-17,21,10,47.62,-6.39,-0.30
2026-02-18,22,11,50.00,-6.21,-0.28
2026-02-19,22,11,50.00,-6.45,-0.29
2026-02-20,22,11,50.00,-5.49,-0.25
2026-02-23,20,9,45.00,-7.11,-0.36
2026-02-24,21,10,47.62,-5.85,-0.28
2026-02-25,22,11,50.00,-5.52,-0.25
2026-02-26,23,11,47.83,-9.31,-0.40
2026-02-27,23,10,43.48,-8.84,-0.38
2026-03-02,21,11,52.38,8.24,0.39
2026-03-04,21,12,57.14,12.23,0.58
2026-03-05,21,12,57.14,12.20,0.58
2026-03-06,21,11,52.38,0.02,0.00
2026-03-09,19,12,63.16,1.14,0.06
2026-03-10,19,12,63.16,1.14,0.06
2026-03-11,20,13,65.00,1.62,0.08
2026-03-12,20,13,65.00,2.05,0.10
2026-03-13,20,13,65.00,1.71,0.09
2026-03-16,18,12,66.67,6.37,0.35
2026-03-17,19,13,68.42,7.90,0.42
2026-03-18,20,14,70.00,8.14,0.41
2026-03-19,20,15,75.00,8.47,0.42
2026-03-20,20,15,75.00,11.10,0.56
2026-03-23,18,14,77.78,11.92,0.66
2026-03-24,19,14,73.68,9.77,0.51
2026-03-25,20,15,75.00,11.84,0.59
2026-03-27,19,13,68.42,8.14,0.43
2026-03-30,17,13,76.47,10.57,0.62
2026-04-01,18,13,72.22,9.03,0.50
2026-04-02,18,12,66.67,3.86,0.21
2026-04-06,16,11,68.75,8.20,0.51
2026-04-07,17,11,64.71,6.72,0.40
2026-04-08,18,12,66.67,7.16,0.40
2026-04-09,19,13,68.42,7.71,0.41
2026-04-10,19,13,68.42,7.96,0.42
2026-04-13,17,12,70.59,7.41,0.44
2026-04-15,17,12,70.59,7.41,0.44
2026-04-16,17,11,64.71,6.22,0.37
2026-04-17,17,10,58.82,5.33,0.31
2026-04-20,15,8,53.33,-1.47,-0.10
2026-04-21,16,8,50.00,-2.94,-0.18
2026-04-22,17,9,52.94,-2.68,-0.16
2026-04-23,17,10,58.82,0.26,0.02
2026-04-24,17,9,52.94,-2.70,-0.16
2026-04-27,16,8,50.00,-0.76,-0.05
2026-04-28,17,8,47.06,-0.29,-0.02
2026-04-29,18,9,50.00,0.63,0.03
2026-04-30,18,10,55.56,2.33,0.13
2026-05-04,17,9,52.94,-5.75,-0.34
2026-05-05,18,10,55.56,-2.58,-0.14
2026-05-06,19,10,52.63,-3.74,-0.20
2026-05-07,19,11,57.89,-1.15,-0.06
2026-05-08,19,10,52.63,-3.24,-0.17
2026-05-11,17,7,41.18,-5.96,-0.35
2026-05-12,18,8,44.44,-5.53,-0.31
2026-05-13,19,9,47.37,-5.28,-0.28
2026-05-14,19,9,47.37,-5.28,-0.28
2026-05-15,20,9,45.00,-5.92,-0.30
2026-05-18,18,9,50.00,-5.65,-0.31
2026-05-19,19,9,47.37,-5.60,-0.29
2026-05-20,20,10,50.00,-5.05,-0.25
2026-05-21,20,11,55.00,-3.07,-0.15
2026-05-22,20,10,50.00,-3.18,-0.16
2026-05-25,17,9,52.94,-3.18,-0.19
2026-05-26,18,10,55.56,-2.04,-0.11
2026-05-27,19,10,52.63,-4.55,-0.24
2026-05-29,18,9,50.00,-8.61,-0.48
2026-06-01,17,9,52.94,0.13,0.01
2026-06-02,17,9,52.94,0.13,0.01
2026-06-03,18,9,50.00,0.36,0.02
2026-06-04,18,9,50.00,-2.57,-0.14
2026-06-05,18,10,55.56,-0.79,-0.04
2026-06-08,16,9,56.25,-3.83,-0.24
2026-06-09,17,9,52.94,-5.59,-0.33
2026-06-10,18,10,55.56,-4.22,-0.23
2026-06-11,18,10,55.56,-3.38,-0.19
2026-06-12,18,10,55.56,-1.49,-0.08
2026-06-15,17,9,52.94,-0.50,-0.03
2026-06-16,18,10,55.56,0.07,0.00
2026-06-17,19,10,52.63,-0.90,-0.05
2026-06-18,19,11,57.89,-0.01,-0.00
2026-06-19,19,11,57.89,0.43,0.02
2026-06-22,18,11,61.11,-0.02,-0.00
